"participant_virtual_id","timestamp","lat","lon"
"9999967","2019-10-21 10:42:40+00","48.7729966","2.006127"
"9999967","2019-10-21 10:43:25+00","48.7729966","2.006127"
"9999967","2019-10-21 10:43:55+00","48.7729966","2.006127"
"9999967","2019-10-21 10:44:27+00","48.7729966","2.006127"
"9999967","2019-10-21 10:44:59+00","48.7729966","2.006127"
"9999967","2019-10-21 10:45:31+00","48.7729966","2.006127"
"9999967","2019-10-21 10:46:01+00","48.7729966","2.006127"
"9999967","2019-10-21 10:46:32+00","48.7729966","2.006127"
"9999967","2019-10-21 10:47:19+00","48.7729966","2.006127"
"9999967","2019-10-21 10:47:41+00","48.7729966","2.006127"
"9999967","2019-10-21 10:48:13+00","48.7729966","2.006127"
"9999967","2019-10-21 10:48:46+00","48.7729966","2.006127"
"9999967","2019-10-21 10:49:18+00","48.7729966","2.006127"
"9999967","2019-10-21 10:49:51+00","48.7729966","2.006127"
"9999967","2019-10-21 10:50:24+00","48.7729966","2.006127"
"9999967","2019-10-21 10:50:56+00","48.7729966","2.006127"
"9999967","2019-10-21 10:51:29+00","48.7729966","2.006127"
"9999967","2019-10-21 10:52:02+00","48.7729966","2.006127"
"9999967","2019-10-21 10:52:34+00","48.7729966","2.006127"
"9999967","2019-10-21 10:53:06+00","48.7729966","2.006127"
"9999967","2019-10-21 10:54:12+00","48.7729966","2.006127"
"9999967","2019-10-21 10:54:44+00","48.7729966","2.006127"
"9999967","2019-10-21 10:55:16+00","48.7729966","2.006127"
"9999967","2019-10-21 10:56:34+00","48.7729966","2.006127"
"9999967","2019-10-21 10:56:56+00","48.7729966","2.006127"
"9999967","2019-10-21 10:57:28+00","48.7729966","2.006127"
"9999967","2019-10-21 10:58:00+00","48.7729966","2.006127"
"9999967","2019-10-21 10:58:33+00","48.7729966","2.006127"
"9999967","2019-10-21 10:59:05+00","48.7729966","2.006127"
"9999967","2019-10-21 10:59:38+00","48.7729966","2.006127"
"9999967","2019-10-21 11:00:10+00","48.7729966","2.006127"
"9999967","2019-10-21 11:00:43+00","48.7729966","2.006127"
