"participant_virtual_id","time","event"
"9999946","2019-10-19 10:34:03+00","Cuisiner"
"9999946","2019-10-19 10:49:59+00","Arrêter De Cuisiner"
"9999946","2019-10-19 11:04:02+00","Ouverture De Fenêtre"
"9999946","2019-10-19 12:28:49+00","Fermeture De Fenêtre"
"9999946","2019-10-19 12:35:02+00","Fumer"
"9999946","2019-10-19 15:23:25+00","Ouverture De Fenêtre"
"9999946","2019-10-19 16:04:07+00","Fermeture De Fenêtre"
"9999946","2019-10-19 16:59:06+00","Cuisiner"
"9999946","2019-10-19 17:48:03+00","Arrêter De Cuisiner"
"9999946","2019-10-20 10:33:58+00","Ouverture De Fenêtre"
"9999946","2019-10-20 11:41:26+00","Fermeture De Fenêtre"
"9999946","2019-10-21 17:26:49+00","Cuisiner"
"9999946","2019-10-21 17:47:47+00","Arrêter De Cuisiner"
"9999946","2019-10-22 06:39:45+00","Ouverture De Fenêtre"
"9999946","2019-10-22 06:45:18+00","Fermeture De Fenêtre"
"9999946","2019-10-23 05:42:12+00","Ouverture De Fenêtre"
"9999946","2019-10-23 05:51:16+00","Fermeture De Fenêtre"
"9999946","2019-10-24 05:25:12+00","Ouverture De Fenêtre"
"9999946","2019-10-24 05:32:29+00","Fermeture De Fenêtre"
"9999946","2019-10-24 17:52:51+00","Ouverture De Fenêtre"
"9999946","2019-10-24 18:14:10+00","Fermeture De Fenêtre"
"9999946","2019-10-25 19:00:36+00","Sport"
"9999946","2019-10-25 19:00:45+00","Repos"
