"participant_virtual_id","time","event"
"9999944","2019-10-19 11:01:10+00","Cuisiner"
"9999944","2019-10-19 11:52:48+00","Arrêter De Cuisiner"
"9999944","2019-10-19 11:52:50+00","Ouverture De Fenêtre"
"9999944","2019-10-19 11:58:20+00","Fermeture De Fenêtre"
"9999944","2019-10-19 13:58:33+00","Ouverture De Fenêtre"
"9999944","2019-10-19 15:01:01+00","Cuisiner"
"9999944","2019-10-19 15:40:56+00","Arrêter De Cuisiner"
"9999944","2019-10-21 11:26:23+00","Ouverture De Fenêtre"
"9999944","2019-10-21 11:33:08+00","Fermeture De Fenêtre"
"9999944","2019-10-21 18:07:07+00","Cuisiner"
"9999944","2019-10-21 20:32:08+00","Arrêter De Cuisiner"
"9999944","2019-10-22 09:40:14+00","Fumer"
"9999944","2019-10-22 10:32:34+00","Ouverture De Fenêtre"
"9999944","2019-10-22 16:10:19+00","Fermeture De Fenêtre"
"9999944","2019-10-23 10:00:14+00","Ouverture De Fenêtre"
"9999944","2019-10-23 18:23:11+00","Cuisiner"
"9999944","2019-10-24 17:37:59+00","Fumer"
"9999944","2019-10-25 09:06:44+00","Ouverture De Fenêtre"
"9999944","2019-10-25 09:50:09+00","Fumer"
