"participant_virtual_id","time","event"
"9999967","2019-10-21 15:47:06+00","Marcher"
"9999967","2019-10-21 16:06:44+00","Marcher"
"9999967","2019-10-21 16:16:15+00","Ouverture De Fenêtre"
"9999967","2019-10-21 17:23:15+00","Fermeture De Fenêtre"
"9999967","2019-10-22 06:28:43+00","Marcher"
"9999967","2019-10-22 06:38:57+00","Marcher"
"9999967","2019-10-22 07:10:24+00","Marcher"
"9999967","2019-10-22 10:26:44+00","Marcher"
"9999967","2019-10-22 10:38:37+00","Marcher"
"9999967","2019-10-22 10:49:49+00","Cuisiner"
"9999967","2019-10-22 10:49:51+00","Ouverture De Fenêtre"
"9999967","2019-10-22 10:58:08+00","Arrêter De Cuisiner"
"9999967","2019-10-22 11:19:47+00","Fermeture De Fenêtre"
"9999967","2019-10-22 11:23:39+00","Marcher"
"9999967","2019-10-22 16:19:00+00","Marcher"
"9999967","2019-10-22 16:44:43+00","Ouverture De Fenêtre"
"9999967","2019-10-22 17:44:20+00","Fermeture De Fenêtre"
"9999967","2019-10-23 06:56:15+00","Marcher"
"9999967","2019-10-23 11:18:06+00","Marcher"
"9999967","2019-10-23 11:23:45+00","Repos"
"9999967","2019-10-23 11:35:33+00","Marcher"
"9999967","2019-10-23 11:42:50+00","Repos"
"9999967","2019-10-23 11:55:41+00","Marcher"
"9999967","2019-10-23 11:59:19+00","Repos"
"9999967","2019-10-23 12:00:29+00","Marcher"
"9999967","2019-10-23 12:04:04+00","Repos"
"9999967","2019-10-23 12:20:09+00","Marcher"
"9999967","2019-10-23 12:26:14+00","Repos"
"9999967","2019-10-23 15:47:11+00","Marcher"
"9999967","2019-10-23 16:08:16+00","Ouverture De Fenêtre"
"9999967","2019-10-23 16:33:25+00","Cuisiner"
"9999967","2019-10-23 16:56:15+00","Arrêter De Cuisiner"
"9999967","2019-10-23 17:24:19+00","Fermeture De Fenêtre"
"9999967","2019-10-24 07:04:43+00","Marcher"
"9999967","2019-10-24 07:23:43+00","Repos"
"9999967","2019-10-24 15:19:01+00","Marcher"
"9999967","2019-10-24 15:42:19+00","Ouverture De Fenêtre"
"9999967","2019-10-24 16:34:44+00","Cuisiner"
"9999967","2019-10-24 17:10:26+00","Arrêter De Cuisiner"
"9999967","2019-10-24 17:47:19+00","Fermeture De Fenêtre"
"9999967","2019-10-25 07:12:40+00","Marcher"
"9999967","2019-10-25 07:17:35+00","Marcher"
"9999967","2019-10-25 07:24:03+00","Repos"
"9999967","2019-10-25 15:58:02+00","Marcher"
"9999967","2019-10-25 16:20:38+00","Ouverture De Fenêtre"
"9999967","2019-10-25 17:52:56+00","Fermeture De Fenêtre"
"9999967","2019-10-26 08:56:19+00","Ouverture De Fenêtre"
"9999967","2019-10-26 09:37:32+00","Fermeture De Fenêtre"
"9999967","2019-10-26 09:41:22+00","Marcher"
"9999967","2019-10-26 09:53:18+00","Repos"
"9999967","2019-10-26 10:19:01+00","Marcher"
"9999967","2019-10-26 10:20:52+00","Repos"
"9999967","2019-10-26 10:28:54+00","Marcher"
"9999967","2019-10-26 10:39:49+00","Repos"
"9999967","2019-10-26 10:40:30+00","Cuisiner"
"9999967","2019-10-26 11:56:53+00","Arrêter De Cuisiner"
"9999967","2019-10-26 12:44:47+00","Marcher"
"9999967","2019-10-26 13:48:12+00","Marcher"
"9999967","2019-10-26 14:48:24+00","Repos"
"9999967","2019-10-26 16:43:11+00","Marcher"
"9999967","2019-10-26 16:46:32+00","Repos"
"9999967","2019-10-26 17:06:20+00","Marcher"
"9999967","2019-10-26 17:42:04+00","Marcher"
"9999967","2019-10-26 17:46:27+00","Repos"
"9999967","2019-10-26 17:48:55+00","Ouverture De Fenêtre"
"9999967","2019-10-26 19:12:02+00","Fermeture De Fenêtre"
"9999967","2019-10-27 07:49:46+00","Ouverture De Fenêtre"
"9999967","2019-10-27 07:59:19+00","Fermeture De Fenêtre"
"9999967","2019-10-27 08:53:50+00","Cuisiner"
"9999967","2019-10-27 11:10:19+00","Fermeture De Fenêtre"
"9999967","2019-10-27 11:10:21+00","Arrêter De Cuisiner"
"9999967","2019-10-27 17:37:26+00","Cuisiner"
"9999967","2019-10-27 17:37:28+00","Ouverture De Fenêtre"
"9999967","2019-10-27 17:45:11+00","Arrêter De Cuisiner"
"9999967","2019-10-27 18:10:11+00","Fermeture De Fenêtre"
"9999967","2019-10-28 07:17:55+00","Marcher"
"9999967","2019-10-28 07:20:36+00","Repos"
"9999967","2019-10-28 07:25:58+00","Marcher"
"9999967","2019-10-28 07:32:53+00","Repos"
"9999967","2019-10-28 15:12:08+00","Marcher"
"9999967","2019-10-28 17:05:25+00","Marcher"
"9999967","2019-10-28 17:20:01+00","Ouverture De Fenêtre"
"9999967","2019-10-28 17:20:02+00","Cuisiner"
"9999967","2019-10-28 17:47:50+00","Arrêter De Cuisiner"
"9999967","2019-10-28 18:10:47+00","Fermeture De Fenêtre"
"9999967","2019-10-29 06:42:44+00","Marcher"
"9999967","2019-10-29 15:47:22+00","Marcher"
"9999967","2019-10-29 16:53:48+00","Marcher"
"9999967","2019-10-29 17:04:09+00","Marcher"
"9999967","2019-10-29 17:36:32+00","Repos"
"9999967","2019-10-29 17:53:35+00","Marcher"
"9999967","2019-10-29 18:26:59+00","Marcher"
"9999967","2019-10-29 18:32:06+00","Repos"
"9999967","2019-10-29 18:41:52+00","Ouverture De Fenêtre"
"9999967","2019-10-29 18:41:54+00","Cuisiner"
"9999967","2019-10-29 18:48:07+00","Arrêter De Cuisiner"
"9999967","2019-10-29 19:29:19+00","Fermeture De Fenêtre"
"9999967","2019-10-30 07:16:40+00","Marcher"
"9999967","2019-10-30 08:19:13+00","Ouverture De Fenêtre"
"9999967","2019-10-30 08:53:00+00","Fermeture De Fenêtre"
