"participant_virtual_id","time","event"
"9999915","2019-10-19 09:54:17+00","Cuisiner"
"9999915","2019-10-19 10:29:48+00","Allumage De Cheminée"
"9999915","2019-10-19 11:00:47+00","Ouverture De Fenêtre"
"9999915","2019-10-19 12:46:41+00","Ouverture De Fenêtre"
"9999915","2019-10-19 12:47:42+00","Fermeture De Fenêtre"
"9999915","2019-10-19 12:56:45+00","Ouverture De Fenêtre"
"9999915","2019-10-19 12:56:47+00","Fermeture De Fenêtre"
"9999915","2019-10-19 18:34:45+00","Repos"
"9999915","2019-10-19 23:37:55+00","Ouverture De Fenêtre"
"9999915","2019-10-19 23:38:46+00","Fermeture De Fenêtre"
"9999915","2019-10-20 17:15:29+00","Allumage De Cheminée"
"9999915","2019-10-21 19:06:36+00","Allumage De Cheminée"
"9999915","2019-10-22 09:54:08+00","Allumage De Cheminée"
"9999915","2019-10-22 22:03:32+00","Repos"
"9999915","2019-10-23 20:39:13+00","Allumage De Cheminée"
"9999915","2019-10-24 19:18:53+00","Allumage De Cheminée"
"9999915","2019-10-25 18:32:13+00","Allumage De Cheminée"
