"participant_virtual_id","time","activity"
"9999941","2019-12-12 15:08:41+00","Bureau"
"9999941","2019-12-12 18:54:47+00","Domicile"
"9999941","2019-12-12 18:54:51+00","Voiture"
"9999941","2019-12-12 19:13:26+00","Domicile"
"9999941","2019-12-13 07:45:33+00","Voiture"
"9999941","2019-12-13 08:05:22+00","Bureau"
"9999941","2019-12-13 16:49:19+00","Voiture"
"9999941","2019-12-13 17:15:15+00","Magasin"
"9999941","2019-12-13 19:28:06+00","Voiture"
"9999941","2019-12-13 19:49:15+00","Domicile"
"9999941","2019-12-14 09:08:10+00","Parc"
"9999941","2019-12-14 10:05:03+00","Domicile"
"9999941","2019-12-14 10:40:40+00","Voiture"
"9999941","2019-12-14 12:34:36+00","Domicile"
"9999941","2019-12-14 15:23:42+00","Rue"
"9999941","2019-12-14 16:15:12+00","Domicile"
"9999941","2019-12-14 17:46:51+00","Voiture"
"9999941","2019-12-14 18:25:23+00","Domicile"
"9999941","2019-12-15 00:43:21+00","Voiture"
"9999941","2019-12-15 01:28:42+00","Domicile"
"9999941","2019-12-15 14:46:49+00","Rue"
"9999941","2019-12-15 15:57:02+00","Domicile"
"9999941","2019-12-15 18:43:31+00","Voiture"
"9999941","2019-12-15 20:17:17+00","Domicile"
"9999941","2019-12-16 08:15:24+00","Voiture"
"9999941","2019-12-16 08:35:41+00","Bureau"
"9999941","2019-12-16 14:04:58+00","Voiture"
"9999941","2019-12-16 18:50:57+00","Rue"
"9999941","2019-12-16 19:23:16+00","Domicile"
"9999941","2019-12-17 07:57:22+00","Voiture"
"9999941","2019-12-17 08:19:15+00","Bureau"
"9999941","2019-12-17 17:27:43+00","Voiture"
"9999941","2019-12-17 18:14:27+00","Restaurant"
"9999941","2019-12-17 19:44:24+00","Voiture"
"9999941","2019-12-17 20:25:04+00","Domicile"
"9999941","2019-12-18 08:49:55+00","Voiture"
"9999941","2019-12-18 09:17:01+00","Magasin"
"9999941","2019-12-18 10:26:32+00","Voiture"
"9999941","2019-12-18 10:47:48+00","Bureau"
"9999941","2019-12-18 18:04:20+00","Voiture"
"9999941","2019-12-18 18:48:08+00","Domicile"
"9999941","2019-12-19 08:04:10+00","Voiture"
