"participant_virtual_id","time","activity"
"9999964","2019-10-19 11:00:17+00","Domicile"
"9999964","2019-10-19 12:47:50+00","Voiture"
"9999964","2019-10-19 13:22:43+00","Magasin"
"9999964","2019-10-19 13:58:57+00","Voiture"
"9999964","2019-10-19 14:42:17+00","Magasin"
"9999964","2019-10-19 15:31:08+00","Voiture"
"9999964","2019-10-19 15:47:08+00","Domicile"
"9999964","2019-10-21 06:21:05+00","Voiture"
"9999964","2019-10-21 06:36:23+00","Parc"
"9999964","2019-10-21 06:38:44+00","Bureau"
"9999964","2019-10-21 14:27:51+00","Voiture"
"9999964","2019-10-21 14:51:52+00","Domicile"
"9999964","2019-10-22 06:35:14+00","Voiture"
"9999964","2019-10-22 06:52:24+00","Bureau"
"9999964","2019-10-22 15:29:46+00","Voiture"
"9999964","2019-10-22 15:53:45+00","Domicile"
"9999964","2019-10-23 06:35:53+00","Voiture"
"9999964","2019-10-23 06:53:50+00","Parc"
"9999964","2019-10-23 06:59:45+00","Bureau"
"9999964","2019-10-23 16:06:09+00","Voiture"
"9999964","2019-10-23 16:30:26+00","Domicile"
"9999964","2019-10-23 16:30:32+00","Tramway"
"9999964","2019-10-23 16:30:35+00","Domicile"
"9999964","2019-10-24 06:24:41+00","Voiture"
"9999964","2019-10-24 06:41:27+00","Parc"
"9999964","2019-10-24 06:46:12+00","Bureau"
"9999964","2019-10-24 10:03:12+00","Rue"
"9999964","2019-10-24 10:13:55+00","Bureau"
"9999964","2019-10-24 15:42:45+00","Voiture"
"9999964","2019-10-24 16:05:44+00","Domicile"
