"participant_virtual_id","time","activity"
"9999915","2019-10-19 09:53:41+00","Domicile"
"9999915","2019-10-19 14:27:32+00","Rue"
"9999915","2019-10-19 14:38:45+00","Magasin"
"9999915","2019-10-19 14:58:32+00","Rue"
"9999915","2019-10-19 15:06:57+00","Domicile"
"9999915","2019-10-19 15:58:48+00","Inconnu"
"9999915","2019-10-19 16:39:26+00","Domicile"
"9999915","2019-10-20 12:35:55+00","Voiture"
"9999915","2019-10-20 13:17:10+00","Domicile"
"9999915","2019-10-20 16:34:00+00","Voiture"
"9999915","2019-10-20 17:13:32+00","Domicile"
"9999915","2019-10-21 06:40:24+00","Vélo"
"9999915","2019-10-21 07:50:28+00","Bureau"
"9999915","2019-10-21 11:00:33+00","Bureau"
"9999915","2019-10-21 11:01:18+00","Vélo"
"9999915","2019-10-21 11:01:23+00","Rue"
"9999915","2019-10-21 11:01:26+00","Vélo"
"9999915","2019-10-21 11:17:48+00","Bureau"
"9999915","2019-10-21 11:26:18+00","Voiture"
"9999915","2019-10-21 11:42:17+00","Bureau"
"9999915","2019-10-21 17:10:35+00","Voiture"
"9999915","2019-10-21 18:29:26+00","Domicile"
"9999915","2019-10-22 06:52:07+00","Voiture"
"9999915","2019-10-22 09:43:54+00","Domicile"
"9999915","2019-10-22 09:59:28+00","Vélo"
"9999915","2019-10-22 10:56:08+00","Bureau"
"9999915","2019-10-22 17:02:34+00","Vélo"
"9999915","2019-10-22 19:25:55+00","Domicile"
"9999915","2019-10-22 21:18:53+00","Vélo"
"9999915","2019-10-22 21:33:40+00","Domicile"
"9999915","2019-10-22 21:38:07+00","Rue"
"9999915","2019-10-22 21:53:52+00","Voiture"
"9999915","2019-10-22 22:03:27+00","Domicile"
"9999915","2019-10-23 06:06:26+00","Vélo"
"9999915","2019-10-23 08:09:12+00","Rue"
"9999915","2019-10-23 08:19:46+00","Métro"
"9999915","2019-10-23 09:00:04+00","Rue"
"9999915","2019-10-23 09:07:43+00","Bureau"
"9999915","2019-10-23 15:36:22+00","Rue"
"9999915","2019-10-23 15:48:17+00","Métro"
"9999915","2019-10-23 16:17:54+00","Rue"
"9999915","2019-10-23 16:51:14+00","Vélo"
"9999915","2019-10-23 18:54:08+00","Restaurant"
"9999915","2019-10-23 19:18:19+00","Domicile"
"9999915","2019-10-24 06:57:15+00","Voiture"
"9999915","2019-10-24 07:43:20+00","Bureau"
"9999915","2019-10-24 10:46:36+00","Voiture"
"9999915","2019-10-24 11:14:11+00","Vélo"
"9999915","2019-10-24 11:40:15+00","Bureau"
"9999915","2019-10-24 12:32:05+00","Vélo"
"9999915","2019-10-24 12:51:16+00","Bureau"
"9999915","2019-10-24 16:13:23+00","Vélo"
"9999915","2019-10-24 17:27:23+00","Domicile"
"9999915","2019-10-25 07:00:23+00","Vélo"
"9999915","2019-10-25 08:17:21+00","Bureau"
"9999915","2019-10-25 16:07:54+00","Vélo"
"9999915","2019-10-25 17:23:38+00","Domicile"
"9999915","2019-10-26 08:47:34+00","Vélo"
