"participant_virtual_id","time","activity"
"9999966","2019-10-21 14:00:00+00","Bureau"
"9999966","2019-10-21 17:03:58+00","Rue"
"9999966","2019-10-21 17:09:23+00","Bus"
"9999966","2019-10-21 17:22:18+00","Rue"
"9999966","2019-10-21 17:27:38+00","Bus"
"9999966","2019-10-21 17:30:38+00","Rue"
"9999966","2019-10-21 17:31:12+00","Magasin"
"9999966","2019-10-21 17:39:13+00","Domicile"
"9999966","2019-10-22 06:52:30+00","Rue"
"9999966","2019-10-22 06:55:39+00","Rue"
"9999966","2019-10-22 07:25:33+00","Rue"
"9999966","2019-10-22 07:32:14+00","Bureau"
"9999966","2019-10-22 14:40:31+00","Rue"
"9999966","2019-10-22 15:03:56+00","Rue"
"9999966","2019-10-22 15:07:48+00","Train"
"9999966","2019-10-22 15:37:30+00","Rue"
"9999966","2019-10-22 15:47:08+00","Train"
"9999966","2019-10-22 15:54:17+00","Rue"
"9999966","2019-10-22 16:12:22+00","Bureau"
"9999966","2019-10-22 18:02:05+00","Rue"
"9999966","2019-10-22 18:20:11+00","Train"
"9999966","2019-10-22 19:06:09+00","Rue"
"9999966","2019-10-22 19:06:24+00","Voiture"
"9999966","2019-10-22 19:45:00+00","Domicile"
"9999966","2019-10-23 05:08:54+00","Rue"
"9999966","2019-10-23 05:15:28+00","Rue"
"9999966","2019-10-23 05:48:03+00","Rue"
"9999966","2019-10-23 05:55:04+00","Bureau"
"9999966","2019-10-23 11:32:02+00","Rue"
"9999966","2019-10-23 11:36:59+00","Voiture"
"9999966","2019-10-23 12:25:00+00","Rue"
"9999966","2019-10-23 12:30:06+00","Bureau"
"9999966","2019-10-23 14:25:09+00","Rue"
"9999966","2019-10-23 14:28:25+00","Voiture"
"9999966","2019-10-23 15:15:36+00","Train"
"9999966","2019-10-23 15:36:02+00","Rue"
"9999966","2019-10-23 15:46:04+00","Domicile"
"9999966","2019-10-24 06:58:06+00","Rue"
"9999966","2019-10-24 07:11:18+00","Rue"
"9999966","2019-10-24 07:36:55+00","Bureau"
"9999966","2019-10-24 15:49:35+00","Bureau"
"9999966","2019-10-24 16:10:03+00","Rue"
"9999966","2019-10-24 16:20:53+00","Bus"
"9999966","2019-10-24 16:36:52+00","Rue"
"9999966","2019-10-24 16:45:29+00","Bus"
"9999966","2019-10-24 16:49:49+00","Parc"
"9999966","2019-10-24 16:49:54+00","Rue"
"9999966","2019-10-24 16:51:30+00","Domicile"
"9999966","2019-10-25 06:19:38+00","Rue"
"9999966","2019-10-25 06:27:40+00","Bus"
"9999966","2019-10-25 06:30:37+00","Rue"
"9999966","2019-10-25 06:34:55+00","Bus"
"9999966","2019-10-25 06:52:03+00","Rue"
"9999966","2019-10-25 06:57:47+00","Bureau"
"9999966","2019-10-25 16:16:28+00","Rue"
"9999966","2019-10-25 16:21:57+00","Bus"
"9999966","2019-10-25 16:38:29+00","Rue"
"9999966","2019-10-25 16:45:11+00","Bus"
"9999966","2019-10-25 16:49:14+00","Rue"
"9999966","2019-10-25 16:50:00+00","Domicile"
"9999966","2019-10-26 12:15:04+00","Rue"
"9999966","2019-10-26 12:31:26+00","Train"
"9999966","2019-10-26 12:57:40+00","Métro"
"9999966","2019-10-26 13:12:39+00","Rue"
"9999966","2019-10-26 13:20:31+00","Restaurant"
"9999966","2019-10-26 13:57:05+00","Rue"
"9999966","2019-10-26 14:06:57+00","Magasin"
"9999966","2019-10-26 14:37:23+00","Métro"
"9999966","2019-10-26 14:56:59+00","Rue"
"9999966","2019-10-26 15:07:49+00","Parc"
"9999966","2019-10-26 16:27:11+00","Métro"
"9999966","2019-10-26 17:01:50+00","Bus"
"9999966","2019-10-26 17:04:20+00","Rue"
"9999966","2019-10-26 17:07:08+00","Magasin"
"9999966","2019-10-26 17:28:02+00","Rue"
"9999966","2019-10-26 17:39:00+00","Train"
"9999966","2019-10-26 17:45:26+00","Métro"
"9999966","2019-10-26 18:13:25+00","Train"
"9999966","2019-10-26 18:31:04+00","Rue"
"9999966","2019-10-26 18:37:26+00","Bus"
"9999966","2019-10-26 18:43:08+00","Domicile"
"9999966","2019-10-28 06:59:44+00","Rue"
"9999966","2019-10-28 07:00:41+00","Bus"
"9999966","2019-10-28 07:03:05+00","Rue"
"9999966","2019-10-28 07:07:55+00","Bus"
"9999966","2019-10-28 07:23:38+00","Rue"
"9999966","2019-10-28 07:29:35+00","Bureau"
