"participant_virtual_id","time","activity"
"999993","2019-10-21 14:10:21+00","Bureau"
"999993","2019-10-21 17:33:26+00","Train"
"999993","2019-10-21 17:33:44+00","Rue"
"999993","2019-10-21 17:46:00+00","Train"
"999993","2019-10-21 18:54:36+00","Rue"
"999993","2019-10-21 19:09:36+00","Domicile"
"999993","2019-10-23 06:04:25+00","Train"
"999993","2019-10-23 06:04:38+00","Métro"
"999993","2019-10-23 06:04:46+00","Train"
"999993","2019-10-23 07:19:12+00","Rue"
"999993","2019-10-23 07:25:52+00","Bureau"
