"participant_virtual_id","time","activity"
"9999924","2019-10-19 10:29:26+00","Domicile"
"9999924","2019-10-20 10:03:44+00","Voiture"
"9999924","2019-10-20 11:00:55+00","Domicile"
"9999924","2019-10-20 14:38:58+00","Voiture"
"9999924","2019-10-20 17:52:43+00","Domicile"
"9999924","2019-10-21 06:18:53+00","Bureau"
"9999924","2019-10-21 06:18:58+00","Voiture"
"9999924","2019-10-21 06:19:03+00","Bureau"
"9999924","2019-10-21 16:25:45+00","Voiture"
"9999924","2019-10-21 16:59:21+00","Domicile"
"9999924","2019-10-22 06:38:34+00","Voiture"
"9999924","2019-10-22 06:38:40+00","Bureau"
"9999924","2019-10-22 12:54:51+00","Voiture"
"9999924","2019-10-23 06:01:23+00","Domicile"
"9999924","2019-10-23 11:02:02+00","Voiture"
"9999924","2019-10-23 17:00:36+00","Domicile"
"9999924","2019-10-25 06:01:09+00","Voiture"
"9999924","2019-10-25 11:05:36+00","Bureau"
"9999924","2019-10-25 15:23:58+00","Voiture"
"9999924","2019-10-25 16:32:39+00","Domicile"
