"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidity","NO2","BC","activity","event"
"9999916","2019-10-19 09:17:00+00","1","1","1","19.8","19.8","52",NULL,NULL,NULL
"9999916","2019-10-19 09:18:00+00","0","0","0","19.7","19.7","8",NULL,NULL,NULL
"9999916","2019-10-19 09:19:00+00","0","0","0","19.7","19.7","3","-35",NULL,NULL
"9999916","2019-10-19 09:20:00+00","6","8","8","19.8","19.8","6","198",NULL,NULL
"9999916","2019-10-19 09:21:00+00","1","1","1","19.9","19.9","18","223",NULL,NULL
"9999916","2019-10-19 09:22:00+00","2","2","2","20","20","6","49",NULL,NULL
"9999916","2019-10-19 09:23:00+00","15","17","17","19.9","19.9","0","131",NULL,NULL
"9999916","2019-10-19 09:24:00+00","26","29","29","19.6","19.6","4","2608","Rue","Marcher"
"9999916","2019-10-19 09:25:00+00","0","0","0","19.1","19.1","15","86","Rue","Marcher"
"9999916","2019-10-19 09:26:00+00","1","1","1","18.5","18.5","3","-109","Rue","Marcher"
"9999916","2019-10-19 09:27:00+00","0","0","0","18.1","18.1","11","150","Rue","Marcher"
"9999916","2019-10-19 09:28:00+00","1","1","1","17.7","17.7","13","161","Rue","Marcher"
"9999916","2019-10-19 09:29:00+00","1","3","3","17.5","17.5","13","854","Rue","Marcher"
"9999916","2019-10-19 09:30:00+00","0","1","1","17.2","17.2","24","737","Rue","Marcher"
"9999916","2019-10-19 09:31:00+00","0","0","0","17","17","11","530","Domicile","Marcher"
"9999916","2019-10-19 09:32:00+00","48","52","52","17.1","17.1","22","1134","Domicile","Marcher"
"9999916","2019-10-19 17:03:00+00","6","6","6","20.8","20.8","23","633","Domicile","Marcher"
"9999916","2019-10-19 17:04:00+00","8","9","9","20.6","20.6","1","591","Domicile","Marcher"
"9999916","2019-10-19 17:05:00+00","6","6","6","20.7","20.7","4","630","Domicile","Marcher"
"9999916","2019-10-19 17:06:00+00","8","9","9","20.7","20.7","6","575","Domicile","Marcher"
"9999916","2019-10-19 17:07:00+00","8","10","10","20.7","20.7","5","589","Domicile","Marcher"
"9999916","2019-10-19 17:08:00+00","6","9","9","20.8","20.8","5","599","Domicile","Marcher"
"9999916","2019-10-19 17:09:00+00","8","8","8","20.7","20.7","6","587","Domicile","Marcher"
"9999916","2019-10-19 17:10:00+00","8","10","10","20.8","20.8","4","602","Domicile","Marcher"
"9999916","2019-10-19 17:11:00+00","8","9","9","20.9","20.9","4","608","Domicile","Marcher"
"9999916","2019-10-19 17:12:00+00","7","8","8","21","21","6","616","Domicile","Marcher"
"9999916","2019-10-19 17:13:00+00","8","9","9","21","21","5","609","Domicile","Marcher"
"9999916","2019-10-19 17:14:00+00","7","8","8","21.1","21.1","4","609","Domicile","Marcher"
"9999916","2019-10-19 17:15:00+00","8","9","9","21.3","21.3","6","607","Domicile","Marcher"
"9999916","2019-10-19 17:16:00+00","8","9","9","21.3","21.3","2","622","Domicile","Marcher"
"9999916","2019-10-19 17:17:00+00","7","10","10","21.5","21.5","4","599","Domicile","Marcher"
"9999916","2019-10-19 17:18:00+00","7","8","8","21.5","21.5","3","654","Domicile","Marcher"
"9999916","2019-10-19 17:19:00+00","8","8","8","21.6","21.6","5","639","Domicile","Marcher"
"9999916","2019-10-19 17:20:00+00","9","11","11","21.7","21.7","6","638","Domicile","Marcher"
"9999916","2019-10-19 17:21:00+00","8","9","9","21.8","21.8","4","676","Domicile","Marcher"
"9999916","2019-10-19 17:22:00+00","8","10","10","21.9","21.9","5","634","Domicile","Marcher"
"9999916","2019-10-19 17:23:00+00","7","9","9","22","22","4","630","Domicile","Marcher"
"9999916","2019-10-19 17:24:00+00","8","10","10","22","22","3","659","Domicile","Marcher"
"9999916","2019-10-19 17:25:00+00","7","9","9","22.1","22.1","4","621","Domicile","Marcher"
"9999916","2019-10-19 17:26:00+00","8","9","9","22.2","22.2","4","647","Domicile","Marcher"
"9999916","2019-10-19 17:27:00+00","8","9","9","22.4","22.4","3","630","Domicile","Marcher"
"9999916","2019-10-19 17:28:00+00","8","9","9","22.4","22.4","4","638","Domicile","Marcher"
"9999916","2019-10-19 17:29:00+00","9","14","14","22.5","22.5","4","634","Domicile","Marcher"
"9999916","2019-10-19 17:30:00+00","7","11","11","22.6","22.6","5","608","Domicile","Marcher"
"9999916","2019-10-19 17:31:00+00","12","14","14","22.6","22.6","3","622","Domicile","Marcher"
"9999916","2019-10-19 17:32:00+00","94","100","100","22.7","22.7","2","3472","Domicile","Marcher"
"9999916","2019-10-19 17:33:00+00","115","123","123","22.8","22.8","4","7666","Domicile","Marcher"
"9999916","2019-10-19 17:34:00+00","84","92","92","22.8","22.8","7","5226","Domicile","Marcher"
"9999916","2019-10-19 17:35:00+00","71","79","79","23","23","7","3902","Domicile","Marcher"
"9999916","2019-10-19 17:36:00+00","77","85","85","22.9","22.9","6","3371","Domicile","Marcher"
"9999916","2019-10-19 17:37:00+00","70","76","76","23.1","23.1","7","3663","Domicile","Marcher"
"9999916","2019-10-19 17:38:00+00","67","76","76","23.1","23.1","6","3515","Domicile","Marcher"
"9999916","2019-10-19 17:39:00+00","70","77","77","23.2","23.2","9","3418","Domicile","Marcher"
"9999916","2019-10-19 17:40:00+00","69","74","74","23.2","23.2","9","3437","Domicile","Marcher"
"9999916","2019-10-19 17:41:00+00","68","74","74","23.3","23.3","7","3507","Domicile","Marcher"
"9999916","2019-10-19 17:42:00+00","67","73","73","23.3","23.3","10","3455","Domicile","Marcher"
"9999916","2019-10-19 17:43:00+00","67","74","74","23.3","23.3","10","3487","Domicile","Marcher"
"9999916","2019-10-19 17:44:00+00","71","76","76","23.4","23.4","11","3591","Domicile","Marcher"
"9999916","2019-10-19 17:45:00+00","69","76","76","23.5","23.5","10","3605","Domicile","Marcher"
