"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999915","2019-10-19 12:14:00+00","9","10","7","28.1","46.6","0","311","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:15:00+00","11","11","8","28.1","46.4","4","721","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:16:00+00","9","9","6","28","46.6","4","259","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:17:00+00","12","13","8","28.1","46","0","649","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:18:00+00","11","11","8","28.1","46","6","319","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:19:00+00","8","8","6","28","46.1","4","438","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:20:00+00","13","13","10","28.1","45.9","1","432","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:21:00+00","13","14","10","28.3","47.1","22","674","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:22:00+00","13","13","9","28.2","46.4","7","235","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:23:00+00","11","11","8","28.2","46.2","1","450","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:24:00+00","14","14","12","28.2","46.6","3","521","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:25:00+00","16","19","13","28.2","46.8","4","541","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:26:00+00","17","19","15","28.3","46.6","4","557","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:27:00+00","29","31","21","28.3","46.3","1","568","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:28:00+00","22","23","16","28.3","46.4","2","692","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:29:00+00","22","23","16","28.3","46.2","2","793","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:30:00+00","22","24","18","28.3","46.9","3","665","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:31:00+00","22","23","17","28.3","47.1","6","549","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:32:00+00","22","25","18","28.3","47.1","0","971","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:33:00+00","21","24","17","28.4","47.3","1","541","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:34:00+00","21","22","17","28.4","47.4","0","677","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:35:00+00","23","24","18","28.4","47.5","1","825","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:36:00+00","20","21","16","28.3","47.4","1","612","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:37:00+00","23","24","17","28.4","47.7","0","682","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:38:00+00","23","25","17","28.4","48","2","694","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:39:00+00","23","26","19","28.3","48","1","578","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:40:00+00","22","24","17","28.3","48.2","2","795","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:41:00+00","23","24","17","28.3","48","0","869","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:42:00+00","23","24","17","28.4","48.3","1","538","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:43:00+00","25","27","19","28.3","48.5","1","824","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:44:00+00","22","24","18","28.3","48.4","1","733","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:45:00+00","23","24","18","28.3","48.5","2","551","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:46:00+00","15","16","10","28.3","48.6","4","153","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:47:00+00","14","15","10","28.2","44.8","1","731","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:48:00+00","20","22","16","28.3","46.2","1","595","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:49:00+00","22","24","18","28.3","48.3","20","947","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:50:00+00","24","25","19","28.2","48.2","12","663","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:51:00+00","27","28","20","28.2","49","5","817","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:52:00+00","27","28","21","28.3","49.2","6","770","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:53:00+00","22","24","17","28.3","49.3","2","596","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:54:00+00","21","23","16","28.3","45.8","0","755","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:55:00+00","28","28","20","28.3","48.8","6","694","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:56:00+00","27","27","21","28.3","48.5","8","525","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:57:00+00","28","28","23","28.4","48.7","8","927","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:58:00+00","25","28","20","28.2","48.8","3","716","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 12:59:00+00","25","27","20","28.3","48.7","0","541","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:00:00+00","22","24","17","28.3","48.8","3","748","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:01:00+00","22","23","18","28.3","47.9","0","573","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:02:00+00","21","23","18","28.5","47.8","1","611","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:03:00+00","22","24","17","28.4","48.3","2","636","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:04:00+00","23","26","17","28.5","47.7","2","437","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:05:00+00","24","25","18","28.4","47.9","4","592","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:06:00+00","20","21","15","28.4","47.8","1","697","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:07:00+00","21","24","17","28.4","47.8","1","340","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:08:00+00","20","22","17","28.5","48.4","3","886","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:09:00+00","21","24","16","28.5","48.7","3","767","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:10:00+00","21","23","15","28.5","48.2","0","765","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:11:00+00","18","20","15","28.6","48.2","0","703","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:12:00+00","19","20","15","28.5","47.3","2","1252","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:13:00+00","23","25","18","28.6","48.2","4","983","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:14:00+00","26","29","18","28.6","48.1","2","1316","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:15:00+00","24","28","18","28.6","48.4","0","1249","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:16:00+00","23","28","16","28.7","49.1","4","1326","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:17:00+00","23","26","16","28.6","48.6","4","1714","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:18:00+00","20","22","16","28.8","49.2","0","1460","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:19:00+00","19","22","14","28.7","49.4","2","1796","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:20:00+00","19","23","14","28.8","49.1","0","1876","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:21:00+00","22","22","17","28.8","49.2","1","1490","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:22:00+00","18","19","13","28.9","48.8","3","1879","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:23:00+00","18","19","14","28.8","48.9","0","1563","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:24:00+00","19","23","15","28.8","49","2","1571","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:25:00+00","17","19","14","28.8","49","1","1448","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:26:00+00","19","22","14","28.9","48.4","0","1526","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:27:00+00","17","18","13","28.9","48.7","1","1853","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:28:00+00","17","19","14","28.9","49","0","1376","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:29:00+00","16","16","13","28.9","49","1","1392","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:30:00+00","18","19","13","28.8","48.8","0","1578","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:31:00+00","18","18","13","28.9","48.9","1","1565","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:32:00+00","17","19","13","28.8","48.7","0","1382","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:33:00+00","15","16","12","28.8","48.9","0","1706","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:34:00+00","16","16","12","28.7","48.8","0","1378","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:35:00+00","14","15","10","28.8","48.3","0","1323","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:36:00+00","15","15","11","28.8","47.2","0","1596","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:37:00+00","14","15","11","28.8","47.8","2","1379","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:38:00+00","14","15","10","28.7","49.4","4","1696","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:39:00+00","14","14","10","28.8","48.2","6","1511","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:40:00+00","13","16","10","28.8","47.5","0","1346","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:41:00+00","13","16","10","28.8","48.3","1","1747","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:42:00+00","14","16","11","28.8","48.6","3","1470","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:43:00+00","14","15","10","28.9","48.5","2","1686","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:44:00+00","13","16","10","28.8","48.1","0","1554","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:45:00+00","12","13","9","28.9","47.5","0","1428","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:46:00+00","13","14","9","28.8","48","0","1570","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:47:00+00","11","12","8","28.8","47.9","3","1117","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:48:00+00","10","10","8","28.9","47.3","0","1482","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:49:00+00","11","13","8","28.8","46.7","1","1371","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:50:00+00","11","13","8","28.8","46.7","2","1095","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:51:00+00","12","12","8","28.9","47.5","3","1576","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:52:00+00","11","12","8","28.9","47.1","2","1433","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:53:00+00","10","11","7","28.9","47.1","2","1126","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:54:00+00","10","11","8","29","48","3","1441","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:55:00+00","10","11","8","28.9","47.4","2","1471","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:56:00+00","9","10","7","28.9","47.4","1","1176","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:57:00+00","9","12","7","29","47.4","0","1187","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:58:00+00","11","11","8","28.9","47.4","2","1228","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 13:59:00+00","10","10","7","28.9","47.1","1","1391","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:00:00+00","9","10","6","28.9","47.6","2","1275","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:01:00+00","8","8","5","28.9","47","3","1145","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:02:00+00","8","8","5","29","46.3","0","972","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:03:00+00","8","11","6","28.9","46","0","892","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:04:00+00","7","8","5","28.9","45.9","1","1364","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:05:00+00","9","9","6","28.9","47.1","6","1901","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:06:00+00","8","10","6","28.9","47.4","6","1482","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:07:00+00","8","10","6","28.9","47.8","13","1513","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:08:00+00","9","10","6","28.9","47.9","3","1544","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:09:00+00","9","9","6","28.9","48","3","1492","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:10:00+00","9","9","6","28.9","48.1","1","1476","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:11:00+00","8","10","6","29","48.3","1","1376","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:12:00+00","8","8","5","29","48.2","2","1370","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:13:00+00","8","9","6","29","48.4","0","1293","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:14:00+00","8","9","5","29","48.4","1","1228","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:15:00+00","7","7","4","29.1","47.5","0","1162","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:16:00+00","6","7","5","29.1","47.1","0","1086","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:17:00+00","7","8","6","29","46.8","6","1155","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:18:00+00","7","8","5","29","46.7","1","1156","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:19:00+00","10","11","8","29","46.9","2","1151","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:20:00+00","10","10","7","29.1","46.9","3","1111","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:21:00+00","9","9","6","29.1","46.5","2","868","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:22:00+00","7","8","5","29","45.6","0","755","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:23:00+00","6","8","4","29.1","45.4","2","858","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:24:00+00","7","7","4","29","45.2","3","799","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:25:00+00","7","9","5","29","45.4","4","909","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:26:00+00","6","6","5","28.9","45.6","5","947","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:27:00+00","7","7","5","28.9","46.3","8","1189","Domicile","Fermeture De Fenêtre"
"9999915","2019-10-19 14:28:00+00","7","8","4","28.9","47","8","1173","Rue","Fermeture De Fenêtre"
"9999915","2019-10-19 14:29:00+00","6","7","5","28.9","50.5","12","955","Rue","Fermeture De Fenêtre"
"9999915","2019-10-19 14:30:00+00","3","3","2","28.9","47.8","3","515","Rue","Fermeture De Fenêtre"
"9999915","2019-10-19 14:31:00+00","0","1","0","28.6","42.8","1","860","Rue","Fermeture De Fenêtre"
"9999915","2019-10-19 14:32:00+00","1","1","0","28","35.9","0","866","Rue","Fermeture De Fenêtre"
"9999915","2019-10-19 14:33:00+00","1","2","0","27.3","35.2","0","-1170","Rue","Fermeture De Fenêtre"
"9999915","2019-10-20 12:52:00+00","2","2","1","26.2","51.5","10","1027","Voiture","Fermeture De Fenêtre"
"9999915","2019-10-20 12:53:00+00","2","2","2","26.5","50.7","0","921","Voiture","Fermeture De Fenêtre"
"9999915","2019-10-20 12:54:00+00","2","3","1","26.6","50.2","0","888","Voiture","Fermeture De Fenêtre"
"9999915","2019-10-20 12:55:00+00","3","4","1","26.8","49.7","3","885","Voiture","Fermeture De Fenêtre"
"9999915","2019-10-20 12:56:00+00","3","3","1","27","49.3","0","941","Voiture","Fermeture De Fenêtre"
"9999915","2019-10-20 12:57:00+00","3","4","1","27.1","48.9","1","1173","Voiture","Fermeture De Fenêtre"
