"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidity","NO2","BC","activity","event"
"9999932","2019-10-21 12:52:00+00","19","19","19","19.6","19.6",NULL,NULL,NULL,NULL
"9999932","2019-10-21 12:53:00+00","29","31","31","19.6","19.6",NULL,NULL,NULL,NULL
"9999932","2019-10-21 12:54:00+00","10","10","10","19.7","19.7","114",NULL,NULL,NULL
"9999932","2019-10-21 12:55:00+00","16","18","18","19.7","19.7","0",NULL,"Bureau",NULL
"9999932","2019-10-21 12:56:00+00","19","21","21","19.7","19.7","5",NULL,"Bureau",NULL
"9999932","2019-10-21 12:57:00+00","25","28","28","19.8","19.8","9",NULL,"Bureau",NULL
"9999932","2019-10-21 12:58:00+00","21","23","23","19.7","19.7","9",NULL,"Bureau",NULL
"9999932","2019-10-21 12:59:00+00","21","22","22","19.8","19.8","8",NULL,"Bureau",NULL
"9999932","2019-10-21 13:00:00+00","22","24","24","19.9","19.9","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:01:00+00","12","13","13","19.9","19.9","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:02:00+00","9","9","9","19.9","19.9","14",NULL,"Bureau",NULL
"9999932","2019-10-21 13:03:00+00","6","7","7","20.1","20.1","24",NULL,"Bureau",NULL
"9999932","2019-10-21 13:04:00+00","4","5","5","20","20","12",NULL,"Bureau",NULL
"9999932","2019-10-21 13:05:00+00","16","16","16","20.2","20.2","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:06:00+00","19","21","21","20.5","20.5","7",NULL,"Bureau",NULL
"9999932","2019-10-21 13:07:00+00","22","23","23","20.5","20.5","7",NULL,"Bureau",NULL
"9999932","2019-10-21 13:08:00+00","33","36","36","20.5","20.5","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:09:00+00","28","30","30","20.7","20.7","12",NULL,"Bureau",NULL
"9999932","2019-10-21 13:10:00+00","25","27","27","20.7","20.7","12",NULL,"Bureau",NULL
"9999932","2019-10-21 13:11:00+00","28","31","31","20.9","20.9","8",NULL,"Bureau",NULL
"9999932","2019-10-21 13:12:00+00","30","32","32","21","21","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:13:00+00","26","28","28","21","21","4",NULL,"Bureau",NULL
"9999932","2019-10-21 13:14:00+00","24","26","26","21","21","6",NULL,"Bureau",NULL
