"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999921","2019-10-22 13:37:00+00","18","18","11","16.8","33.5",NULL,NULL,NULL,NULL
"9999921","2019-10-22 13:38:00+00","19","20","14","17.3","34.1","75",NULL,NULL,NULL
"9999921","2019-10-22 13:39:00+00","14","15","10","17.6","35.2","138",NULL,NULL,NULL
"9999921","2019-10-22 13:40:00+00","14","14","8","17.9","30.9","35",NULL,NULL,NULL
"9999921","2019-10-22 13:41:00+00","14","15","9","18.1","30.1","2",NULL,NULL,NULL
"9999921","2019-10-22 13:42:00+00","12","13","9","18.6","33.9","0",NULL,NULL,NULL
"9999921","2019-10-23 08:21:00+00","5","6","4","19.5","41.1","35",NULL,NULL,NULL
"9999921","2019-10-23 08:22:00+00","5","5","4","19.9","52.3","33",NULL,NULL,NULL
"9999921","2019-10-23 08:23:00+00","4","4","4","20.4","49.4",NULL,NULL,NULL,NULL
"9999921","2019-10-23 08:24:00+00","4","4","3","20.8","44.3",NULL,NULL,NULL,NULL
"9999921","2019-10-23 08:35:00+00","3","3","2","21.5","18.4",NULL,NULL,"Bureau",NULL
"9999921","2019-10-23 08:36:00+00","3","3","2","21.7","15",NULL,NULL,"Bureau",NULL
"9999921","2019-10-23 08:37:00+00","4","4","2","21.7","14.3",NULL,NULL,"Bureau",NULL
"9999921","2019-10-23 08:38:00+00","3","3","2","21.7","20",NULL,NULL,"Bureau",NULL
"9999921","2019-10-23 08:39:00+00","5","6","4","21.7","16.8",NULL,NULL,"Bureau",NULL
"9999921","2019-10-23 08:40:00+00","5","6","4","21.8","13.8",NULL,NULL,"Bureau",NULL
"9999921","2019-10-23 08:41:00+00","6","6","4","21.8","13.6",NULL,NULL,"Bureau",NULL
"9999921","2019-10-23 08:42:00+00","4","4","3","21.9","13.6","0",NULL,"Bureau",NULL
"9999921","2019-10-23 08:43:00+00","8","9","7","21.8","13.6","13",NULL,"Bureau",NULL
"9999921","2019-10-23 08:44:00+00","7","7","5","21.9","13.6","4",NULL,"Voiture",NULL
"9999921","2019-10-23 08:45:00+00","18","19","12","21.8","13.1","17",NULL,"Voiture",NULL
"9999921","2019-10-23 08:46:00+00","12","13","9","21.2","12.5","5",NULL,"Voiture",NULL
"9999921","2019-10-23 08:47:00+00","9","9","6","21.1","13.9","34",NULL,"Voiture",NULL
"9999921","2019-10-23 08:48:00+00","10","11","6","21.2","14.3","36",NULL,"Voiture",NULL
"9999921","2019-10-23 08:49:00+00","9","10","7","21","15.4","34",NULL,"Voiture",NULL
"9999921","2019-10-23 08:50:00+00","12","12","8","21","16.2","33",NULL,"Voiture",NULL
"9999921","2019-10-23 08:51:00+00","13","15","9","21","16","11",NULL,"Voiture",NULL
"9999921","2019-10-23 08:52:00+00","14","15","9","21","16.6","20",NULL,"Voiture",NULL
"9999921","2019-10-23 08:53:00+00","15","17","10","20.9","17.1","28",NULL,"Voiture",NULL
"9999921","2019-10-23 08:54:00+00","15","16","10","20.9","17.1","23",NULL,"Voiture",NULL
"9999921","2019-10-23 08:55:00+00","16","17","10","21","17.4","27",NULL,"Voiture",NULL
"9999921","2019-10-23 08:56:00+00","15","15","10","20.9","17.3","40",NULL,"Voiture",NULL
"9999921","2019-10-23 08:57:00+00","16","17","11","21","17.3","29",NULL,"Voiture",NULL
"9999921","2019-10-23 08:58:00+00","16","17","10","20.9","17.2","22",NULL,"Voiture",NULL
"9999921","2019-10-23 08:59:00+00","17","17","10","21.1","17.1","20",NULL,"Voiture",NULL
"9999921","2019-10-23 09:00:00+00","17","18","11","21","17.2","20",NULL,"Voiture",NULL
"9999921","2019-10-23 09:01:00+00","17","18","11","21.1","17.1","17",NULL,"Voiture",NULL
"9999921","2019-10-23 09:02:00+00","16","17","11","21.2","17.1","16",NULL,"Voiture",NULL
"9999921","2019-10-23 09:03:00+00","16","18","11","21.1","17","19",NULL,"Voiture",NULL
"9999921","2019-10-23 09:04:00+00","18","19","12","21.2","17.2","30",NULL,"Voiture",NULL
"9999921","2019-10-23 09:05:00+00","19","20","12","21.2","16.9","28",NULL,"Voiture",NULL
"9999921","2019-10-23 09:06:00+00","19","21","12","21.3","17","38",NULL,"Voiture",NULL
"9999921","2019-10-23 09:07:00+00","18","19","11","21.3","16.9","30",NULL,"Voiture",NULL
"9999921","2019-10-23 09:08:00+00","19","19","13","21.3","16.7","22",NULL,"Voiture",NULL
"9999921","2019-10-23 09:09:00+00","18","19","12","21.5","16.7","20",NULL,"Voiture",NULL
"9999921","2019-10-23 09:10:00+00","21","22","13","21.4","16.7","19",NULL,"Voiture",NULL
"9999921","2019-10-23 09:11:00+00","20","22","13","21.5","16.4","22",NULL,"Voiture",NULL
"9999921","2019-10-23 09:12:00+00","22","24","14","21.5","16.2","18",NULL,"Voiture",NULL
"9999921","2019-10-23 09:13:00+00","20","22","13","21.4","15.7","19",NULL,"Voiture",NULL
"9999921","2019-10-23 09:14:00+00","20","21","13","21.5","15.7","19",NULL,"Voiture",NULL
"9999921","2019-10-23 09:15:00+00","20","23","13","21.6","15.6","21",NULL,"Voiture",NULL
"9999921","2019-10-23 09:16:00+00","21","22","13","21.5","15.6","22",NULL,"Voiture",NULL
"9999921","2019-10-23 09:17:00+00","20","21","13","21.7","15.5","24",NULL,"Voiture",NULL
"9999921","2019-10-23 09:18:00+00","19","21","13","21.7","15.5","20",NULL,"Voiture",NULL
"9999921","2019-10-23 09:19:00+00","21","22","14","21.5","15.5","21",NULL,"Voiture",NULL
"9999921","2019-10-23 09:20:00+00","21","23","13","21.6","15.8","27",NULL,"Voiture",NULL
"9999921","2019-10-23 09:21:00+00","18","20","12","21.8","15.8","25",NULL,"Voiture",NULL
"9999921","2019-10-23 09:22:00+00","18","20","12","21.7","15.9","26",NULL,"Voiture",NULL
"9999921","2019-10-23 09:23:00+00","19","20","13","21.8","16.1","29",NULL,"Voiture",NULL
"9999921","2019-10-23 09:24:00+00","19","20","12","21.8","16.1","36",NULL,"Voiture",NULL
"9999921","2019-10-23 09:25:00+00","20","22","13","21.7","15.9","32",NULL,"Voiture",NULL
"9999921","2019-10-23 09:26:00+00","20","21","13","21.8","15.9","51",NULL,"Voiture",NULL
"9999921","2019-10-23 09:27:00+00","22","24","15","21.8","15.5","58",NULL,"Voiture",NULL
"9999921","2019-10-23 09:28:00+00","19","21","13","21.4","12","12",NULL,"Rue",NULL
"9999921","2019-10-23 09:29:00+00","11","11","8","21.3","13.5","8",NULL,"Rue",NULL
"9999921","2019-10-23 09:30:00+00","17","18","11","21.4","15","63",NULL,"Domicile",NULL
"9999921","2019-10-23 09:31:00+00","20","21","12","21.3","14.7","8",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:32:00+00","21","22","13","21.2","13.9","8",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:33:00+00","21","23","13","21.3","13.5","12",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:34:00+00","21","22","13","21.3","13.6","18",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:35:00+00","21","23","14","21.4","13.3","16",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:36:00+00","22","23","14","21.4","13.1","15",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:37:00+00","22","24","14","21.5","13","18",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:38:00+00","21","23","14","21.5","12.9","16",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:39:00+00","22","25","15","21.6","12.7","13",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:40:00+00","22","24","14","21.7","12.7","15",NULL,"Domicile","Ouverture De Fenêtre"
"9999921","2019-10-23 09:41:00+00","22","23","15","21.5","12.7","19",NULL,"Domicile","Ouverture De Fenêtre"
