"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidity","NO2","BC","activity","event"
"9999966","2019-10-21 13:20:00+00","0","0","0","19.3","19.3",NULL,NULL,NULL,NULL
"9999966","2019-10-21 13:21:00+00","1","1","1","19.4","19.4","250",NULL,NULL,NULL
"9999966","2019-10-21 13:22:00+00","0","0","0","19.6","19.6","250",NULL,NULL,NULL
"9999966","2019-10-21 13:23:00+00","0","0","0","19.8","19.8","8",NULL,NULL,NULL
"9999966","2019-10-21 13:24:00+00","0","0","0","20","20","0",NULL,NULL,NULL
"9999966","2019-10-21 13:25:00+00","0","0","0","20.4","20.4","2",NULL,NULL,NULL
"9999966","2019-10-21 13:26:00+00","0","0","0","20.6","20.6","4",NULL,NULL,NULL
"9999966","2019-10-21 13:27:00+00","0","0","0","20.8","20.8","4",NULL,NULL,NULL
"9999966","2019-10-21 13:28:00+00","3","4","4","21.1","21.1","7",NULL,NULL,NULL
"9999966","2019-10-21 13:29:00+00","1","1","1","21.4","21.4","9",NULL,NULL,NULL
"9999966","2019-10-21 13:30:00+00","1","2","2","21.7","21.7","6",NULL,NULL,NULL
"9999966","2019-10-21 19:53:00+00","1","1","1","23.6","23.6","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:54:00+00","1","1","1","23.6","23.6","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:55:00+00","2","2","2","23.7","23.7","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:56:00+00","1","1","1","23.8","23.8","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:57:00+00","1","2","2","23.8","23.8","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:58:00+00","1","1","1","24","24","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:59:00+00","2","2","2","24.1","24.1","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:00:00+00","1","2","2","24.3","24.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:01:00+00","1","1","1","24.3","24.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:02:00+00","2","2","2","24.5","24.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:03:00+00","2","2","2","24.7","24.7","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:04:00+00","1","1","1","24.8","24.8","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:05:00+00","1","1","1","24.9","24.9","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:06:00+00","1","2","2","25.1","25.1","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:07:00+00","1","1","1","25.3","25.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:08:00+00","2","2","2","25.4","25.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:09:00+00","1","1","1","25.5","25.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:10:00+00","1","1","1","25.7","25.7","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:11:00+00","1","1","1","25.8","25.8","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:12:00+00","1","2","2","25.9","25.9","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:13:00+00","1","1","1","26.1","26.1","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:14:00+00","2","2","2","26.2","26.2","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:15:00+00","2","3","3","26.3","26.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:16:00+00","2","2","2","26.5","26.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:17:00+00","1","1","1","26.7","26.7","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:18:00+00","2","2","2","26.7","26.7","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:19:00+00","1","1","1","26.9","26.9","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:20:00+00","1","2","2","27","27","0",NULL,"Domicile","Marcher"
