"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidity","NO2","BC","activity","event"
"9999964","2019-10-19 11:00:00+00","1","1","1","19.9","19.9","86",NULL,NULL,NULL
"9999964","2019-10-19 11:01:00+00","1","1","1","20.1","20.1","18",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:02:00+00","1","1","1","20.2","20.2","9",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:03:00+00","1","1","1","20.5","20.5","19",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:04:00+00","0","0","0","20.9","20.9","16",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:05:00+00","1","1","1","21.2","21.2","26",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:06:00+00","0","0","0","21.4","21.4","10",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:07:00+00","1","1","1","21.6","21.6","0",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:08:00+00","1","1","1","21.8","21.8","0",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:09:00+00","2","2","2","21.9","21.9","0",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:10:00+00","1","1","1","22.1","22.1","1",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:11:00+00","1","1","1","22.2","22.2","2",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:12:00+00","1","1","1","22.3","22.3","2",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:13:00+00","1","1","1","22.4","22.4","2",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:14:00+00","1","1","1","22.5","22.5","2",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:15:00+00","2","2","2","22.6","22.6","4",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:16:00+00","1","1","1","22.7","22.7","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:17:00+00","1","1","1","22.8","22.8","4",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:18:00+00","1","2","2","22.9","22.9","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:19:00+00","1","1","1","23","23","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:20:00+00","1","1","1","23","23","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:21:00+00","1","1","1","23.2","23.2","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:22:00+00","1","2","2","23.3","23.3","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:23:00+00","1","1","1","23.4","23.4","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:24:00+00","1","1","1","23.4","23.4","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:25:00+00","0","0","0","23.5","23.5","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:26:00+00","1","1","1","23.6","23.6","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:27:00+00","1","1","1","23.6","23.6","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:28:00+00","0","1","1","23.7","23.7","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:29:00+00","1","2","2","23.8","23.8","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:30:00+00","1","1","1","23.9","23.9","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:31:00+00","1","2","2","24","24","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:32:00+00","1","1","1","24.1","24.1","6",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:33:00+00","1","1","1","24.2","24.2","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:34:00+00","1","2","2","24.2","24.2","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:35:00+00","1","1","1","24.2","24.2","2",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:36:00+00","1","1","1","24.3","24.3","4",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:37:00+00","0","0","0","24.4","24.4","6",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:38:00+00","0","0","0","24.5","24.5","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:39:00+00","0","0","0","24.5","24.5","4",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:40:00+00","0","1","1","24.6","24.6","4",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:41:00+00","0","1","1","24.6","24.6","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:42:00+00","0","0","0","24.7","24.7","6",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:43:00+00","0","1","1","24.8","24.8","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:44:00+00","0","1","1","24.8","24.8","4",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:45:00+00","0","0","0","24.9","24.9","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:46:00+00","0","0","0","25","25","4",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:47:00+00","0","1","1","25","25","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:48:00+00","0","0","0","25.1","25.1","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:49:00+00","0","0","0","25.1","25.1","3",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:50:00+00","0","0","0","25.2","25.2","4",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:51:00+00","0","0","0","25.2","25.2","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:52:00+00","0","0","0","25.3","25.3","5",NULL,"Domicile","Repos"
"9999964","2019-10-19 11:53:00+00","0","0","0","25.4","25.4","7",NULL,"Domicile","Repos"
