"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999967","2019-10-21 09:49:00+00","0","0","0","20","53.2",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:50:00+00","0","0","0","20.1","54.1",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:51:00+00","0","0","0","20.2","53.9",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:52:00+00","0","0","0","20.2","53.7",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:53:00+00","0","0","0","20.3","53.4",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:54:00+00","0","0","0","20.4","53.2",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:55:00+00","0","0","0","20.5","53.2",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:56:00+00","0","0","0","20.6","53",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:57:00+00","0","0","0","20.8","53",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:58:00+00","0","0","0","20.8","52.6",NULL,NULL,NULL,NULL
"9999967","2019-10-21 09:59:00+00","0","0","0","20.9","52.4",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:00:00+00","0","0","0","21","52.1",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:01:00+00","0","0","0","21.1","52",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:02:00+00","0","0","0","21.3","51.8",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:03:00+00","0","0","0","21.3","51.3",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:04:00+00","0","0","0","21.4","51.2",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:05:00+00","0","0","0","21.5","51.1",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:06:00+00","0","0","0","21.7","51",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:07:00+00","0","0","0","21.7","50.6",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:08:00+00","0","0","0","21.8","50.5",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:09:00+00","0","0","0","21.9","50.3",NULL,NULL,NULL,NULL
"9999967","2019-10-21 10:10:00+00","0","0","0","22","50.2",NULL,NULL,NULL,NULL
