"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidity","NO2","BC","activity","event"
"9999946","2019-10-19 09:54:00+00","1","3","3","20.6","20.6",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:55:00+00","1","1","1","20.5","20.5",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:56:00+00","0","0","0","20.5","20.5",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:57:00+00","2","3","3","20.4","20.4",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:58:00+00","3","4","4","20.6","20.6",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:59:00+00","2","4","4","19.9","19.9",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:00:00+00","0","1","1","19.1","19.1",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:01:00+00","0","1","1","18","18",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:02:00+00","1","2","2","17.8","17.8",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:03:00+00","1","2","2","17","17",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:04:00+00","1","2","2","16.5","16.5",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:05:00+00","2","2","2","15.9","15.9",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:06:00+00","0","1","1","15.8","15.8",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:07:00+00","0","1","1","15.8","15.8",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:08:00+00","1","1","1","15.8","15.8",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:09:00+00","0","0","0","15.8","15.8",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:10:00+00","0","0","0","16.2","16.2",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:11:00+00","0","0","0","16.5","16.5",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:12:00+00","0","0","0","16.8","16.8",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:13:00+00","0","0","0","17","17",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:14:00+00","0","0","0","17.2","17.2",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:15:00+00","0","0","0","17.4","17.4",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:16:00+00","0","0","0","17.6","17.6",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:17:00+00","0","0","0","17.9","17.9",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:18:00+00","0","0","0","18.3","18.3",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:19:00+00","0","0","0","18.4","18.4",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:20:00+00","0","0","0","18.7","18.7",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:21:00+00","0","0","0","18.9","18.9",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:22:00+00","0","0","0","19.2","19.2",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:23:00+00","0","0","0","19.4","19.4",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:24:00+00","0","0","0","19.5","19.5",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:25:00+00","0","1","1","19.8","19.8",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:26:00+00","0","0","0","20","20",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:27:00+00","0","1","1","20.1","20.1",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:28:00+00","0","1","1","20.3","20.3",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:29:00+00","0","0","0","20.6","20.6",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:30:00+00","0","0","0","20.8","20.8",NULL,NULL,"Domicile",NULL
"9999946","2019-10-19 10:31:00+00","0","0","0","20.9","20.9",NULL,NULL,"Domicile",NULL
