"participant_virtual_id","time","activity"
"9999944","2019-10-19 09:20:00+00","Rue"
"9999944","2019-10-19 09:25:00+00","Magasin"
"9999944","2019-10-19 09:28:00+00","Rue"
"9999944","2019-10-19 09:53:00+00","Bus"
"9999944","2019-10-19 10:10:00+00","Voiture"
"9999944","2019-10-19 10:30:00+00","Magasin"
"9999944","2019-10-19 11:00:00+00","Domicile"
"9999944","2019-10-21 05:56:01+00","Rue"
"9999944","2019-10-21 05:59:34+00","Bus"
"9999944","2019-10-21 06:11:30+00","Train"
"9999944","2019-10-21 06:17:56+00","Rue"
"9999944","2019-10-21 06:31:07+00","Bus"
"9999944","2019-10-21 06:38:52+00","Rue"
"9999944","2019-10-21 06:43:04+00","Bureau"
"9999944","2019-10-21 16:15:05+00","Rue"
"9999944","2019-10-21 16:15:09+00","Bus"
"9999944","2019-10-21 16:40:43+00","Train"
"9999944","2019-10-21 16:51:35+00","Parc"
"9999944","2019-10-21 16:54:17+00","Rue"
"9999944","2019-10-21 17:34:14+00","Bus"
"9999944","2019-10-22 05:58:32+00","Rue"
"9999944","2019-10-22 05:58:37+00","Bus"
"9999944","2019-10-22 06:02:31+00","Rue"
"9999944","2019-10-22 06:06:41+00","Train"
"9999944","2019-10-22 06:18:01+00","Rue"
"9999944","2019-10-22 06:28:45+00","Bus"
"9999944","2019-10-22 06:38:09+00","Rue"
"9999944","2019-10-22 06:41:44+00","Bureau"
"9999944","2019-10-22 09:40:10+00","Restaurant"
"9999944","2019-10-22 09:45:10+00","Inconnu"
"9999944","2019-10-22 10:15:08+00","Bureau"
"9999944","2019-10-22 16:12:45+00","Rue"
"9999944","2019-10-22 16:34:45+00","Voiture"
"9999944","2019-10-23 06:13:15+00","Rue"
"9999944","2019-10-23 06:37:54+00","Bus"
"9999944","2019-10-23 06:37:56+00","Rue"
"9999944","2019-10-23 06:37:59+00","Train"
"9999944","2019-10-23 06:48:51+00","Rue"
"9999944","2019-10-23 06:48:53+00","Bus"
"9999944","2019-10-23 07:04:08+00","Bureau"
"9999944","2019-10-23 09:51:57+00","Inconnu"
"9999944","2019-10-23 09:53:53+00","Restaurant"
"9999944","2019-10-23 09:56:20+00","Inconnu"
"9999944","2019-10-23 09:58:24+00","Bureau"
"9999944","2019-10-23 16:05:57+00","Rue"
"9999944","2019-10-23 16:32:14+00","Bus"
"9999944","2019-10-23 16:32:16+00","Rue"
"9999944","2019-10-23 16:32:22+00","Train"
"9999944","2019-10-23 16:43:45+00","Rue"
"9999944","2019-10-24 06:05:37+00","Rue"
"9999944","2019-10-24 06:07:58+00","Bus"
"9999944","2019-10-24 06:16:02+00","Rue"
"9999944","2019-10-24 06:29:41+00","Train"
"9999944","2019-10-24 06:29:43+00","Rue"
"9999944","2019-10-24 07:12:00+00","Bureau"
"9999944","2019-10-24 10:50:48+00","Restaurant"
"9999944","2019-10-24 10:56:51+00","Bureau"
"9999944","2019-10-24 16:01:11+00","Rue"
"9999944","2019-10-24 16:07:02+00","Bus"
"9999944","2019-10-24 16:24:39+00","Rue"
"9999944","2019-10-24 16:24:41+00","Inconnu"
"9999944","2019-10-24 16:36:03+00","Train"
"9999944","2019-10-24 16:56:39+00","Métro"
"9999944","2019-10-24 17:37:56+00","Rue"
"9999944","2019-10-24 17:37:58+00","Inconnu"
"9999944","2019-10-24 18:08:37+00","Cinéma"
"9999944","2019-10-24 19:15:33+00","Rue"
"9999944","2019-10-24 19:17:51+00","Métro"
"9999944","2019-10-24 19:50:34+00","Train"
"9999944","2019-10-24 20:25:35+00","Rue"
"9999944","2019-10-25 06:23:11+00","Bus"
"9999944","2019-10-25 06:23:13+00","Rue"
"9999944","2019-10-25 06:23:15+00","Train"
"9999944","2019-10-25 06:23:20+00","Rue"
"9999944","2019-10-25 06:23:22+00","Bus"
"9999944","2019-10-25 06:39:34+00","Bureau"
"9999944","2019-10-25 09:49:57+00","Inconnu"
"9999944","2019-10-25 09:53:16+00","Restaurant"
"9999944","2019-10-25 10:37:21+00","Bureau"
"9999944","2019-10-25 15:30:09+00","Rue"
"9999944","2019-10-25 15:30:11+00","Bus"
"9999944","2019-10-25 15:30:13+00","Rue"
