"participant_virtual_id","time","activity"
"9999932","2019-10-21 12:54:48+00","Bureau"
"9999932","2019-10-21 16:58:21+00","Bus"
"9999932","2019-10-21 17:06:54+00","Train"
"9999932","2019-10-21 17:31:23+00","Métro"
"9999932","2019-10-21 17:47:28+00","Rue"
"9999932","2019-10-21 17:52:34+00","Magasin"
"9999932","2019-10-21 19:57:19+00","Rue"
"9999932","2019-10-21 20:04:50+00","Restaurant"
"9999932","2019-10-21 20:22:06+00","Rue"
"9999932","2019-10-21 20:49:00+00","Train"
"9999932","2019-10-21 21:33:30+00","Rue"
"9999932","2019-10-21 21:44:55+00","Domicile"
"9999932","2019-10-22 08:35:19+00","Rue"
"9999932","2019-10-22 08:46:24+00","Bus"
"9999932","2019-10-22 09:21:44+00","Rue"
"9999932","2019-10-22 10:27:59+00","Bureau"
"9999932","2019-10-22 16:28:26+00","Rue"
"9999932","2019-10-22 17:03:16+00","Voiture"
"9999932","2019-10-22 17:16:59+00","Rue"
"9999932","2019-10-22 17:26:13+00","Restaurant"
"9999932","2019-10-22 19:10:57+00","Rue"
"9999932","2019-10-22 19:20:15+00","Voiture"
"9999932","2019-10-22 19:36:26+00","Domicile"
"9999932","2019-10-23 08:00:09+00","Rue"
"9999932","2019-10-23 08:33:29+00","Bus"
"9999932","2019-10-23 08:43:19+00","Rue"
"9999932","2019-10-23 09:40:00+00","Bureau"
"9999932","2019-10-23 16:56:49+00","Rue"
"9999932","2019-10-23 17:17:59+00","Bus"
"9999932","2019-10-23 17:39:24+00","Domicile"
"9999932","2019-10-24 08:27:09+00","Rue"
"9999932","2019-10-24 08:36:33+00","Bus"
"9999932","2019-10-24 08:49:03+00","Rue"
"9999932","2019-10-24 09:39:07+00","Bureau"
"9999932","2019-10-24 16:28:29+00","Rue"
"9999932","2019-10-24 17:35:43+00","Train"
"9999932","2019-10-24 17:35:52+00","Bureau"
"9999932","2019-10-24 17:35:58+00","Train"
"9999932","2019-10-24 18:11:22+00","Magasin"
"9999932","2019-10-24 18:25:18+00","Rue"
"9999932","2019-10-24 19:02:36+00","Bus"
"9999932","2019-10-24 19:17:48+00","Magasin"
"9999932","2019-10-24 20:03:12+00","Train"
"9999932","2019-10-24 20:41:31+00","Rue"
"9999932","2019-10-24 21:01:07+00","Domicile"
"9999932","2019-10-25 08:16:35+00","Bus"
"9999932","2019-10-25 10:16:30+00","Bureau"
"9999932","2019-10-25 16:33:42+00","Rue"
"9999932","2019-10-25 17:38:42+00","Train"
"9999932","2019-10-25 18:37:17+00","Bus"
"9999932","2019-10-25 18:43:59+00","Rue"
"9999932","2019-10-25 18:50:34+00","Domicile"
"9999932","2019-10-26 10:02:59+00","Rue"
"9999932","2019-10-26 10:24:08+00","Bus"
"9999932","2019-10-26 11:07:56+00","Rue"
"9999932","2019-10-26 18:07:46+00","Magasin"
"9999932","2019-10-26 18:43:38+00","Rue"
"9999932","2019-10-26 19:06:10+00","Bus"
"9999932","2019-10-26 19:17:20+00","Domicile"
"9999932","2019-10-28 08:04:34+00","Rue"
"9999932","2019-10-28 08:44:48+00","Bureau"
