"participant_virtual_id","time","activity"
"9999961","2019-10-19 08:40:45+00","Vélo"
"9999961","2019-10-19 09:01:53+00","Domicile"
"9999961","2019-10-19 10:02:25+00","Vélo"
"9999961","2019-10-19 11:20:05+00","Domicile"
"9999961","2019-10-21 06:30:28+00","Rue"
"9999961","2019-10-21 17:59:47+00","Domicile"
"9999961","2019-10-22 06:37:22+00","Vélo"
"9999961","2019-10-22 17:01:06+00","Domicile"
"9999961","2019-10-23 08:10:02+00","Voiture"
"9999961","2019-10-23 14:18:25+00","Domicile"
"9999961","2019-10-24 18:15:19+00","Voiture"
"9999961","2019-10-24 21:15:14+00","Domicile"
"9999961","2019-10-25 06:39:23+00","Vélo"
"9999961","2019-10-25 07:20:20+00","Bureau"
"9999961","2019-10-25 16:10:27+00","Vélo"
"9999961","2019-10-25 17:05:03+00","Domicile"
