"participant_virtual_id","time","activity"
"9999967","2019-10-21 13:37:23+00","Bureau"
"9999967","2019-10-21 15:47:01+00","Rue"
"9999967","2019-10-21 15:59:13+00","Magasin"
"9999967","2019-10-21 16:06:41+00","Rue"
"9999967","2019-10-21 16:16:10+00","Domicile"
"9999967","2019-10-22 06:16:12+00","Rue"
"9999967","2019-10-22 06:17:50+00","Bus"
"9999967","2019-10-22 06:28:38+00","Rue"
"9999967","2019-10-22 06:31:04+00","Train"
"9999967","2019-10-22 06:38:50+00","Rue"
"9999967","2019-10-22 06:43:06+00","Tramway"
"9999967","2019-10-22 06:54:39+00","Rue"
"9999967","2019-10-22 06:59:54+00","Inconnu"
"9999967","2019-10-22 07:07:55+00","Train"
"9999967","2019-10-22 07:10:20+00","Rue"
"9999967","2019-10-22 07:22:12+00","Bureau"
"9999967","2019-10-22 10:26:42+00","Rue"
"9999967","2019-10-22 10:37:35+00","Magasin"
"9999967","2019-10-22 10:38:32+00","Rue"
"9999967","2019-10-22 10:45:09+00","Domicile"
"9999967","2019-10-22 11:23:36+00","Rue"
"9999967","2019-10-22 11:41:58+00","Bureau"
"9999967","2019-10-22 16:18:59+00","Rue"
"9999967","2019-10-22 16:36:23+00","Domicile"
"9999967","2019-10-23 06:56:14+00","Rue"
"9999967","2019-10-23 07:15:19+00","Bureau"
"9999967","2019-10-23 11:18:05+00","Rue"
"9999967","2019-10-23 11:23:25+00","Bus"
"9999967","2019-10-23 11:35:31+00","Rue"
"9999967","2019-10-23 11:42:46+00","Domicile"
"9999967","2019-10-23 11:55:40+00","Rue"
"9999967","2019-10-23 11:59:16+00","Magasin"
"9999967","2019-10-23 12:00:28+00","Rue"
"9999967","2019-10-23 12:04:55+00","Bus"
"9999967","2019-10-23 12:20:07+00","Rue"
"9999967","2019-10-23 12:25:27+00","Bureau"
"9999967","2019-10-23 15:47:53+00","Rue"
"9999967","2019-10-23 16:08:06+00","Domicile"
"9999967","2019-10-24 07:04:41+00","Rue"
"9999967","2019-10-24 07:22:58+00","Bureau"
"9999967","2019-10-24 15:19:37+00","Rue"
"9999967","2019-10-24 15:31:36+00","Magasin"
"9999967","2019-10-24 15:33:42+00","Rue"
"9999967","2019-10-24 15:40:52+00","Domicile"
"9999967","2019-10-25 07:14:41+00","Bus"
"9999967","2019-10-25 07:17:30+00","Rue"
"9999967","2019-10-25 07:23:49+00","Bureau"
"9999967","2019-10-25 15:58:03+00","Rue"
"9999967","2019-10-25 16:20:36+00","Domicile"
"9999967","2019-10-26 09:42:41+00","Rue"
"9999967","2019-10-26 09:45:07+00","Bus"
"9999967","2019-10-26 09:51:53+00","Rue"
"9999967","2019-10-26 10:05:46+00","Train"
"9999967","2019-10-26 10:20:51+00","Inconnu"
"9999967","2019-10-26 10:23:01+00","Tramway"
"9999967","2019-10-26 10:28:52+00","Rue"
"9999967","2019-10-26 10:29:56+00","Magasin"
"9999967","2019-10-26 10:35:00+00","Rue"
"9999967","2019-10-26 10:39:44+00","Domicile"
"9999967","2019-10-26 12:45:04+00","Rue"
"9999967","2019-10-26 12:58:51+00","Voiture"
"9999967","2019-10-26 13:48:10+00","Rue"
"9999967","2019-10-26 13:51:50+00","Magasin"
"9999967","2019-10-26 15:53:31+00","Voiture"
"9999967","2019-10-26 16:43:09+00","Rue"
"9999967","2019-10-26 16:46:31+00","Domicile"
"9999967","2019-10-26 17:06:19+00","Rue"
"9999967","2019-10-26 17:07:05+00","Voiture"
"9999967","2019-10-26 17:42:02+00","Rue"
"9999967","2019-10-26 17:46:00+00","Domicile"
"9999967","2019-10-28 07:18:49+00","Rue"
"9999967","2019-10-28 07:23:56+00","Bus"
"9999967","2019-10-28 07:25:56+00","Rue"
"9999967","2019-10-28 07:32:52+00","Domicile"
"9999967","2019-10-28 15:12:37+00","Rue"
"9999967","2019-10-28 15:16:55+00","Bus"
"9999967","2019-10-28 15:31:37+00","Rue"
"9999967","2019-10-28 15:33:48+00","Train"
"9999967","2019-10-28 15:42:10+00","Rue"
"9999967","2019-10-28 15:51:52+00","Magasin"
"9999967","2019-10-28 16:14:14+00","Rue"
"9999967","2019-10-28 16:24:13+00","Train"
"9999967","2019-10-28 16:34:16+00","Rue"
"9999967","2019-10-28 16:37:21+00","Bus"
"9999967","2019-10-28 17:05:23+00","Rue"
"9999967","2019-10-28 17:06:34+00","Domicile"
"9999967","2019-10-29 15:49:19+00","Rue"
"9999967","2019-10-29 16:00:13+00","Train"
"9999967","2019-10-29 16:00:31+00","Rue"
"9999967","2019-10-29 16:04:24+00","Inconnu"
"9999967","2019-10-29 16:09:15+00","Rue"
"9999967","2019-10-29 16:22:16+00","Train"
"9999967","2019-10-29 16:53:50+00","Inconnu"
"9999967","2019-10-29 16:57:00+00","Tramway"
"9999967","2019-10-29 17:04:07+00","Rue"
"9999967","2019-10-29 17:15:04+00","Voiture"
"9999967","2019-10-29 17:28:37+00","Rue"
"9999967","2019-10-29 17:36:31+00","Domicile"
"9999967","2019-10-29 17:53:34+00","Rue"
"9999967","2019-10-29 17:57:45+00","Voiture"
"9999967","2019-10-29 18:26:58+00","Rue"
"9999967","2019-10-29 18:32:05+00","Domicile"
"9999967","2019-10-30 07:17:30+00","Rue"
"9999967","2019-10-30 07:22:57+00","Magasin"
"9999967","2019-10-30 07:26:01+00","Rue"
"9999967","2019-10-30 07:36:39+00","Bureau"
