"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999916","2019-10-19 09:17:00+00","1","1","0","19.8","51.3","52",NULL,NULL,NULL
"9999916","2019-10-19 09:18:00+00","0","0","0","19.7","52.4","8",NULL,NULL,NULL
"9999916","2019-10-19 09:19:00+00","0","0","0","19.7","52.7","3","-35",NULL,NULL
"9999916","2019-10-19 09:20:00+00","6","8","3","19.8","52.4","6","198",NULL,NULL
"9999916","2019-10-19 09:21:00+00","1","1","0","19.9","52.6","18","223",NULL,NULL
"9999916","2019-10-19 09:22:00+00","2","2","0","20","53.7","6","49",NULL,NULL
"9999916","2019-10-19 09:23:00+00","15","17","9","19.9","51.5","0","131",NULL,NULL
"9999916","2019-10-19 09:24:00+00","26","29","15","19.6","51.4","4","2608","Rue","Marcher"
"9999916","2019-10-19 09:25:00+00","0","0","0","19.1","51.2","15","86","Rue","Marcher"
"9999916","2019-10-19 09:26:00+00","1","1","0","18.5","51.6","3","-109","Rue","Marcher"
"9999916","2019-10-19 09:27:00+00","0","0","0","18.1","52.8","11","150","Rue","Marcher"
"9999916","2019-10-19 09:28:00+00","1","1","0","17.7","53.5","13","161","Rue","Marcher"
"9999916","2019-10-19 09:29:00+00","1","3","1","17.5","54.7","13","854","Rue","Marcher"
"9999916","2019-10-19 09:30:00+00","0","1","0","17.2","55.6","24","737","Rue","Marcher"
"9999916","2019-10-19 09:31:00+00","0","0","0","17","56","11","530","Domicile","Marcher"
"9999916","2019-10-19 09:32:00+00","48","52","31","17.1","57.7","22","1134","Domicile","Marcher"
"9999916","2019-10-19 17:03:00+00","6","6","3","20.8","56.4","23","633","Domicile","Marcher"
"9999916","2019-10-19 17:04:00+00","8","9","3","20.6","56","1","591","Domicile","Marcher"
"9999916","2019-10-19 17:05:00+00","6","6","4","20.7","55.6","4","630","Domicile","Marcher"
"9999916","2019-10-19 17:06:00+00","8","9","4","20.7","55.3","6","575","Domicile","Marcher"
"9999916","2019-10-19 17:07:00+00","8","10","4","20.7","55.2","5","589","Domicile","Marcher"
"9999916","2019-10-19 17:08:00+00","6","9","4","20.8","55.2","5","599","Domicile","Marcher"
"9999916","2019-10-19 17:09:00+00","8","8","4","20.7","55","6","587","Domicile","Marcher"
"9999916","2019-10-19 17:10:00+00","8","10","4","20.8","55","4","602","Domicile","Marcher"
"9999916","2019-10-19 17:11:00+00","8","9","4","20.9","54.9","4","608","Domicile","Marcher"
"9999916","2019-10-19 17:12:00+00","7","8","4","21","54.8","6","616","Domicile","Marcher"
"9999916","2019-10-19 17:13:00+00","8","9","4","21","54.5","5","609","Domicile","Marcher"
"9999916","2019-10-19 17:14:00+00","7","8","4","21.1","54.4","4","609","Domicile","Marcher"
"9999916","2019-10-19 17:15:00+00","8","9","4","21.3","54.3","6","607","Domicile","Marcher"
"9999916","2019-10-19 17:16:00+00","8","9","4","21.3","54.1","2","622","Domicile","Marcher"
"9999916","2019-10-19 17:17:00+00","7","10","4","21.5","54.1","4","599","Domicile","Marcher"
"9999916","2019-10-19 17:18:00+00","7","8","4","21.5","53.8","3","654","Domicile","Marcher"
"9999916","2019-10-19 17:19:00+00","8","8","4","21.6","53.7","5","639","Domicile","Marcher"
"9999916","2019-10-19 17:20:00+00","9","11","4","21.7","53.7","6","638","Domicile","Marcher"
"9999916","2019-10-19 17:21:00+00","8","9","5","21.8","53.7","4","676","Domicile","Marcher"
"9999916","2019-10-19 17:22:00+00","8","10","4","21.9","53.5","5","634","Domicile","Marcher"
"9999916","2019-10-19 17:23:00+00","7","9","4","22","53.4","4","630","Domicile","Marcher"
"9999916","2019-10-19 17:24:00+00","8","10","4","22","53.3","3","659","Domicile","Marcher"
"9999916","2019-10-19 17:25:00+00","7","9","3","22.1","53.2","4","621","Domicile","Marcher"
"9999916","2019-10-19 17:26:00+00","8","9","4","22.2","53.1","4","647","Domicile","Marcher"
"9999916","2019-10-19 17:27:00+00","8","9","4","22.4","53","3","630","Domicile","Marcher"
"9999916","2019-10-19 17:28:00+00","8","9","4","22.4","52.9","4","638","Domicile","Marcher"
"9999916","2019-10-19 17:29:00+00","9","14","4","22.5","52.7","4","634","Domicile","Marcher"
"9999916","2019-10-19 17:30:00+00","7","11","4","22.6","52.6","5","608","Domicile","Marcher"
"9999916","2019-10-19 17:31:00+00","12","14","7","22.6","52.4","3","622","Domicile","Marcher"
"9999916","2019-10-19 17:32:00+00","94","100","67","22.7","52.3","2","3472","Domicile","Marcher"
"9999916","2019-10-19 17:33:00+00","115","123","80","22.8","52.2","4","7666","Domicile","Marcher"
"9999916","2019-10-19 17:34:00+00","84","92","56","22.8","52.1","7","5226","Domicile","Marcher"
