"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidite","NO2","BC","activity","event"
"9999932","2019-10-21 12:52:00+00","19","19","15","19.6","67.8",NULL,NULL,NULL,NULL
"9999932","2019-10-21 12:53:00+00","29","31","20","19.6","69",NULL,NULL,NULL,NULL
"9999932","2019-10-21 12:54:00+00","10","10","8","19.7","67.2","114",NULL,NULL,NULL
"9999932","2019-10-21 12:55:00+00","16","18","12","19.7","63.6","0",NULL,"Bureau",NULL
"9999932","2019-10-21 12:56:00+00","19","21","14","19.7","62.6","5",NULL,"Bureau",NULL
"9999932","2019-10-21 12:57:00+00","25","28","17","19.8","62.5","9",NULL,"Bureau",NULL
"9999932","2019-10-21 12:58:00+00","21","23","15","19.7","62.2","9",NULL,"Bureau",NULL
"9999932","2019-10-21 12:59:00+00","21","22","14","19.8","62.3","8",NULL,"Bureau",NULL
"9999932","2019-10-21 13:00:00+00","22","24","14","19.9","62.1","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:01:00+00","12","13","8","19.9","62.3","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:02:00+00","9","9","6","19.9","64.3","14",NULL,"Bureau",NULL
"9999932","2019-10-21 13:03:00+00","6","7","4","20.1","63.8","24",NULL,"Bureau",NULL
"9999932","2019-10-21 13:04:00+00","4","5","3","20","66.2","12",NULL,"Bureau",NULL
"9999932","2019-10-21 13:05:00+00","16","16","12","20.2","62","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:06:00+00","19","21","13","20.5","62.1","7",NULL,"Bureau",NULL
"9999932","2019-10-21 13:07:00+00","22","23","15","20.5","60.9","7",NULL,"Bureau",NULL
"9999932","2019-10-21 13:08:00+00","33","36","20","20.5","60.2","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:09:00+00","28","30","18","20.7","60.1","12",NULL,"Bureau",NULL
"9999932","2019-10-21 13:10:00+00","25","27","17","20.7","59.4","12",NULL,"Bureau",NULL
"9999932","2019-10-21 13:11:00+00","28","31","19","20.9","59","8",NULL,"Bureau",NULL
"9999932","2019-10-21 13:12:00+00","30","32","21","21","58.6","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:13:00+00","26","28","19","21","58.2","4",NULL,"Bureau",NULL
"9999932","2019-10-21 13:14:00+00","24","26","17","21","58.1","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:15:00+00","19","22","14","21.1","58.1","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:16:00+00","11","12","8","21.3","57.7","0",NULL,"Bureau",NULL
"9999932","2019-10-21 13:17:00+00","10","10","8","21.4","57.4","1",NULL,"Bureau",NULL
"9999932","2019-10-21 13:18:00+00","13","13","9","21.4","57.1","2",NULL,"Bureau",NULL
"9999932","2019-10-21 13:19:00+00","22","23","15","21.4","56.8","2",NULL,"Bureau",NULL
"9999932","2019-10-21 13:20:00+00","20","21","14","21.5","56.5","2",NULL,"Bureau",NULL
"9999932","2019-10-21 13:21:00+00","15","17","10","21.6","56.4","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:22:00+00","13","14","10","21.6","56.2","1",NULL,"Bureau",NULL
"9999932","2019-10-21 13:23:00+00","16","17","11","21.7","55.8","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:24:00+00","32","34","21","21.7","55.9","1",NULL,"Bureau",NULL
"9999932","2019-10-21 13:25:00+00","39","43","26","21.9","55.6","1",NULL,"Bureau",NULL
"9999932","2019-10-21 13:26:00+00","33","35","22","21.9","55.1","2",NULL,"Bureau",NULL
"9999932","2019-10-21 13:27:00+00","47","50","32","22","54.8","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:28:00+00","37","41","26","21.9","54.6","1",NULL,"Bureau",NULL
"9999932","2019-10-21 13:29:00+00","38","42","27","22","54.7","2",NULL,"Bureau",NULL
"9999932","2019-10-21 13:30:00+00","37","39","25","22.1","54.7","2",NULL,"Bureau",NULL
"9999932","2019-10-21 13:31:00+00","33","35","23","22.2","54.6","4",NULL,"Bureau",NULL
"9999932","2019-10-21 13:32:00+00","31","32","22","22.3","54.6","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:33:00+00","31","32","21","22.2","54.3","19",NULL,"Bureau",NULL
"9999932","2019-10-21 13:34:00+00","28","29","20","22.4","54.3","4",NULL,"Bureau",NULL
"9999932","2019-10-21 13:35:00+00","19","20","13","22.3","53.6","4",NULL,"Bureau",NULL
"9999932","2019-10-21 13:36:00+00","21","23","16","22.6","53.9","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:37:00+00","22","23","16","22.5","53.7","3",NULL,"Bureau",NULL
"9999932","2019-10-21 13:38:00+00","17","18","12","22.5","53.8","4",NULL,"Bureau",NULL
"9999932","2019-10-21 13:39:00+00","12","13","9","22.7","53.3","4",NULL,"Bureau",NULL
"9999932","2019-10-21 13:40:00+00","8","9","6","22.7","53.1","5",NULL,"Bureau",NULL
"9999932","2019-10-21 13:41:00+00","5","5","4","22.5","53","7",NULL,"Bureau",NULL
"9999932","2019-10-21 13:42:00+00","5","5","3","22.8","53.1","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:43:00+00","4","4","2","22.9","53.2","5",NULL,"Bureau",NULL
"9999932","2019-10-21 13:44:00+00","3","3","2","23","53.1","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:45:00+00","3","4","2","23","52.8","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:46:00+00","2","2","2","23","52.9","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:47:00+00","2","3","1","22.9","52.5","5",NULL,"Bureau",NULL
"9999932","2019-10-21 13:48:00+00","10","11","7","23","52.5","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:49:00+00","32","34","21","23.2","52.5","8",NULL,"Bureau",NULL
"9999932","2019-10-21 13:50:00+00","49","53","31","23.2","52.3","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:51:00+00","62","67","38","23.2","52.2","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:52:00+00","82","88","48","23.2","52.7","8",NULL,"Bureau",NULL
"9999932","2019-10-21 13:53:00+00","63","68","37","23.2","52.3","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:54:00+00","39","43","24","23.2","52.1","4",NULL,"Bureau",NULL
"9999932","2019-10-21 13:55:00+00","28","31","18","23.3","51.9","7",NULL,"Bureau",NULL
"9999932","2019-10-21 13:56:00+00","22","23","15","23.5","51.5","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:57:00+00","22","24","14","23.5","51.1","6",NULL,"Bureau",NULL
"9999932","2019-10-21 13:58:00+00","22","24","14","23.5","50.9","9",NULL,"Bureau",NULL
"9999932","2019-10-21 13:59:00+00","20","23","13","23.5","51.1","8",NULL,"Bureau",NULL
"9999932","2019-10-21 14:00:00+00","25","30","17","23.5","51.1","8",NULL,"Bureau",NULL
