"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidite","NO2","BC","activity","event"
"9999966","2019-10-21 13:20:00+00","0","0","0","19.3","76.6",NULL,NULL,NULL,NULL
"9999966","2019-10-21 13:21:00+00","1","1","0","19.4","84.1","250",NULL,NULL,NULL
"9999966","2019-10-21 13:22:00+00","0","0","0","19.6","75","250",NULL,NULL,NULL
"9999966","2019-10-21 13:23:00+00","0","0","0","19.8","69.2","8",NULL,NULL,NULL
"9999966","2019-10-21 13:24:00+00","0","0","0","20","67.1","0",NULL,NULL,NULL
"9999966","2019-10-21 13:25:00+00","0","0","0","20.4","65.9","2",NULL,NULL,NULL
"9999966","2019-10-21 13:26:00+00","0","0","0","20.6","64.4","4",NULL,NULL,NULL
"9999966","2019-10-21 13:27:00+00","0","0","0","20.8","63.1","4",NULL,NULL,NULL
"9999966","2019-10-21 13:28:00+00","3","4","1","21.1","61.9","7",NULL,NULL,NULL
"9999966","2019-10-21 13:29:00+00","1","1","0","21.4","60.9","9",NULL,NULL,NULL
"9999966","2019-10-21 13:30:00+00","1","2","1","21.7","59.8","6",NULL,NULL,NULL
"9999966","2019-10-21 19:53:00+00","1","1","0","23.6","56.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:54:00+00","1","1","0","23.6","56.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:55:00+00","2","2","0","23.7","56.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:56:00+00","1","1","0","23.8","56.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:57:00+00","1","2","0","23.8","56.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:58:00+00","1","1","0","24","56.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 19:59:00+00","2","2","0","24.1","56.2","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:00:00+00","1","2","0","24.3","56.1","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:01:00+00","1","1","0","24.3","55.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:02:00+00","2","2","1","24.5","55.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:03:00+00","2","2","0","24.7","55.2","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:04:00+00","1","1","0","24.8","54.8","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:05:00+00","1","1","0","24.9","54.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:06:00+00","1","2","0","25.1","54.2","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:07:00+00","1","1","0","25.3","53.9","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:08:00+00","2","2","0","25.4","53.6","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:09:00+00","1","1","0","25.5","53.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:10:00+00","1","1","0","25.7","53.1","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:11:00+00","1","1","0","25.8","52.9","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:12:00+00","1","2","0","25.9","52.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:13:00+00","1","1","0","26.1","52.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:14:00+00","2","2","1","26.2","51.9","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:15:00+00","2","3","1","26.3","51.6","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:16:00+00","2","2","0","26.5","51.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:17:00+00","1","1","0","26.7","51","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:18:00+00","2","2","0","26.7","50.6","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:19:00+00","1","1","0","26.9","50.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:20:00+00","1","2","0","27","50.2","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:21:00+00","1","1","1","27.1","49.9","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:22:00+00","2","2","1","27.2","49.6","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:23:00+00","2","3","1","27.3","49.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:24:00+00","2","3","2","27.4","49.2","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:25:00+00","2","3","1","27.5","49","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:26:00+00","2","3","1","27.6","48.7","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:27:00+00","2","2","1","27.7","48.5","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:28:00+00","3","3","1","27.8","48.3","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:29:00+00","2","2","1","28","48.1","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:30:00+00","2","2","1","28","47.9","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:31:00+00","2","2","1","28.2","47.8","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:32:00+00","2","2","0","28.2","47.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:33:00+00","2","2","1","28.3","47.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:34:00+00","2","2","1","28.3","47.1","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:35:00+00","1","2","0","28.5","47","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:36:00+00","2","2","1","28.4","46.7","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:37:00+00","3","3","1","28.6","46.6","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:38:00+00","2","3","0","28.8","46.4","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:39:00+00","1","1","0","28.8","46.2","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:40:00+00","2","3","1","28.8","46","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:41:00+00","2","3","1","28.9","45.8","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:42:00+00","2","3","1","29","45.7","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:43:00+00","2","2","1","29.1","45.6","1",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:44:00+00","2","3","1","29.1","45.4","1",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:45:00+00","2","2","1","29.2","45.2","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:46:00+00","3","3","1","29.3","45.1","0",NULL,"Domicile","Marcher"
"9999966","2019-10-21 20:47:00+00","2","3","1","29.3","44.9","1",NULL,"Domicile","Marcher"
