"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidite","NO2","BC","activity","event"
"999994","2019-10-25 06:52:00+00","5","5","3","19.4","55.5","4",NULL,"Bureau",NULL
"999994","2019-10-25 06:53:00+00","5","5","3","19.4","56.3","1",NULL,"Bureau",NULL
"999994","2019-10-25 06:54:00+00","5","6","4","19.4","56","0",NULL,"Bureau",NULL
"999994","2019-10-25 06:55:00+00","5","5","3","19.5","55.7","0",NULL,"Bureau",NULL
"999994","2019-10-25 06:56:00+00","4","4","3","19.6","55.5","0",NULL,"Bureau",NULL
"999994","2019-10-25 06:57:00+00","4","5","3","19.6","55.2","0",NULL,"Bureau",NULL
"999994","2019-10-25 06:58:00+00","4","4","3","19.7","54.9","0",NULL,"Bureau",NULL
"999994","2019-10-25 06:59:00+00","4","5","3","19.9","54.6","0",NULL,"Bureau",NULL
"999994","2019-10-25 07:00:00+00","4","5","3","20","54.3","0",NULL,"Bureau",NULL
"999994","2019-10-25 07:01:00+00","4","4","3","20.1","53.9","0",NULL,"Bureau",NULL
"999994","2019-10-25 07:02:00+00","4","4","3","20.2","53.6","0",NULL,"Bureau",NULL
"999994","2019-10-25 07:03:00+00","5","5","3","20.4","53.4","1",NULL,"Bureau",NULL
"999994","2019-10-25 07:04:00+00","5","5","3","20.5","53","0",NULL,"Bureau",NULL
"999994","2019-10-25 07:05:00+00","4","4","3","20.7","52.6","1",NULL,"Bureau",NULL
"999994","2019-10-25 07:06:00+00","4","5","3","20.8","52.4","1",NULL,"Bureau",NULL
"999994","2019-10-25 07:07:00+00","4","4","3","21","52.1","2",NULL,"Bureau",NULL
"999994","2019-10-25 07:08:00+00","4","4","3","21.1","51.7","2",NULL,"Bureau",NULL
"999994","2019-10-25 07:09:00+00","4","5","3","21.2","51.3","1",NULL,"Bureau",NULL
"999994","2019-10-25 07:10:00+00","4","4","3","21.3","51.1","2",NULL,"Bureau",NULL
"999994","2019-10-25 07:11:00+00","4","4","3","21.4","50.7","4",NULL,"Bureau",NULL
"999994","2019-10-25 07:12:00+00","5","5","4","21.6","50.5","4",NULL,"Bureau",NULL
"999994","2019-10-25 07:13:00+00","5","5","4","21.7","50.3","5",NULL,"Bureau",NULL
"999994","2019-10-25 07:14:00+00","4","5","3","21.7","50","5",NULL,"Bureau",NULL
"999994","2019-10-25 07:15:00+00","5","5","3","21.9","49.5","4",NULL,"Bureau",NULL
"999994","2019-10-25 07:16:00+00","4","5","3","22","49.6","6",NULL,"Bureau",NULL
