"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidite","NO2","BC","activity","event"
"9999946","2019-10-19 09:54:00+00","1","3","0","20.6","48.2",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:55:00+00","1","1","0","20.5","49.2",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:56:00+00","0","0","0","20.5","49.5",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:57:00+00","2","3","0","20.4","49.4",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:58:00+00","3","4","1","20.6","49.4",NULL,NULL,NULL,NULL
"9999946","2019-10-19 09:59:00+00","2","4","1","19.9","49.3",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:00:00+00","0","1","0","19.1","49.6",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:01:00+00","0","1","0","18","50.6",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:02:00+00","1","2","0","17.8","52",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:03:00+00","1","2","0","17","53.1",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:04:00+00","1","2","0","16.5","54.8",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:05:00+00","2","2","1","15.9","56.3",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:06:00+00","0","1","0","15.8","56.8",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:07:00+00","0","1","0","15.8","56.5",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:08:00+00","1","1","1","15.8","57.2",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:09:00+00","0","0","0","15.8","57.6",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:10:00+00","0","0","0","16.2","58.7",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:11:00+00","0","0","0","16.5","59.6",NULL,NULL,NULL,NULL
"9999946","2019-10-19 10:12:00+00","0","0","0","16.8","59.8",NULL,NULL,NULL,NULL
