"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999944","2019-10-19 10:37:00+00","4","4","2","19.5","50.6","18","458","Magasin",NULL
"9999944","2019-10-19 10:38:00+00","5","6","4","19.4","50.9","19","495","Magasin",NULL
"9999944","2019-10-19 10:39:00+00","2","2","1","19.3","51.1","16","781","Magasin",NULL
"9999944","2019-10-19 10:40:00+00","1","1","0","19.1","51.7","20","915","Magasin",NULL
"9999944","2019-10-19 10:41:00+00","2","2","1","19","60.1","50","1169","Magasin",NULL
"9999944","2019-10-19 10:42:00+00","1","1","1","19.2","61.1","44","1652","Magasin",NULL
"9999944","2019-10-19 10:43:00+00","2","2","1","19.3","61.4","16","1497","Magasin",NULL
"9999944","2019-10-19 10:44:00+00","2","2","2","19.4","60.3","9","1072","Magasin",NULL
"9999944","2019-10-19 10:45:00+00","2","2","1","19.6","60.4","8","822","Magasin",NULL
"9999944","2019-10-19 10:46:00+00","0","0","0","19.8","59.6","6","597","Magasin",NULL
"9999944","2019-10-19 10:47:00+00","2","2","1","19.9","54.4","4","685","Magasin",NULL
"9999944","2019-10-19 10:48:00+00","2","3","1","19.7","49.7","0","603","Magasin",NULL
"9999944","2019-10-19 10:49:00+00","3","4","2","19.7","51.5","7","506","Magasin",NULL
"9999944","2019-10-19 10:50:00+00","14","16","12","19.8","59.7","51","1159","Magasin",NULL
"9999944","2019-10-19 10:51:00+00","14","14","13","20","59.6","52","702","Magasin",NULL
"9999944","2019-10-19 10:52:00+00","15","16","13","20.1","60","20","640","Magasin",NULL
"9999944","2019-10-19 10:53:00+00","15","16","12","20.3","60.2","14","634","Magasin",NULL
"9999944","2019-10-19 10:54:00+00","13","16","11","20.5","60","7","653","Magasin",NULL
"9999944","2019-10-19 10:55:00+00","13","14","11","20.6","59.5","5","993","Magasin",NULL
"9999944","2019-10-19 10:56:00+00","13","14","11","20.8","59.5","7","2859","Magasin",NULL
"9999944","2019-10-19 10:57:00+00","11","12","10","21","59.5","9","1012","Magasin",NULL
"9999944","2019-10-19 10:58:00+00","12","14","10","21.1","58.6","3","549","Magasin",NULL
"9999944","2019-10-19 10:59:00+00","11","13","9","21.3","57.4","3","474","Magasin",NULL
"9999944","2019-10-19 11:00:00+00","11","12","9","21.4","56.8","3","421","Domicile",NULL
"9999944","2019-10-19 11:00:00+00","11","12","9","21.4","56.8","3","421","Magasin",NULL
"9999944","2019-10-19 11:01:00+00","10","12","8","21.6","56.6","4","400","Domicile",NULL
"9999944","2019-10-19 11:02:00+00","10","11","9","21.8","56","5","435","Domicile","Cuisiner"
"9999944","2019-10-19 11:03:00+00","10","11","8","21.9","55.5","6","427","Domicile","Cuisiner"
"9999944","2019-10-19 11:04:00+00","10","12","8","22","55.6","6","417","Domicile","Cuisiner"
"9999944","2019-10-19 11:05:00+00","10","11","9","22.2","55.3","6","436","Domicile","Cuisiner"
"9999944","2019-10-19 11:06:00+00","10","11","9","22.2","54.7","7","457","Domicile","Cuisiner"
"9999944","2019-10-19 11:07:00+00","10","11","8","22.4","54.4","5","426","Domicile","Cuisiner"
"9999944","2019-10-19 11:08:00+00","9","11","7","22.6","54","4","422","Domicile","Cuisiner"
"9999944","2019-10-19 11:09:00+00","8","10","7","22.7","53.8","7","469","Domicile","Cuisiner"
"9999944","2019-10-19 11:10:00+00","9","10","7","22.8","53.2","7","431","Domicile","Cuisiner"
"9999944","2019-10-19 11:11:00+00","9","10","7","22.9","52.9","8","452","Domicile","Cuisiner"
"9999944","2019-10-19 11:12:00+00","9","11","8","23","53","8","434","Domicile","Cuisiner"
"9999944","2019-10-19 11:13:00+00","8","9","7","23","52.7","12","448","Domicile","Cuisiner"
"9999944","2019-10-19 11:14:00+00","9","9","7","23.2","52.7","6","456","Domicile","Cuisiner"
"9999944","2019-10-19 11:15:00+00","10","11","9","23.3","52.6","17","445","Domicile","Cuisiner"
"9999944","2019-10-19 11:16:00+00","9","10","8","23.3","52.3","6","482","Domicile","Cuisiner"
"9999944","2019-10-19 11:17:00+00","8","8","7","23.4","52","5","450","Domicile","Cuisiner"
"9999944","2019-10-19 11:18:00+00","9","10","7","23.5","52.8","12","472","Domicile","Cuisiner"
"9999944","2019-10-19 11:19:00+00","8","8","6","23.6","52.2","15","578","Domicile","Cuisiner"
"9999944","2019-10-19 11:20:00+00","8","9","7","23.7","52.4","5","498","Domicile","Cuisiner"
"9999944","2019-10-19 11:21:00+00","8","9","6","23.8","53.2","17","508","Domicile","Cuisiner"
"9999944","2019-10-19 11:22:00+00","8","9","6","23.9","52.4","10","483","Domicile","Cuisiner"
"9999944","2019-10-19 11:23:00+00","8","8","7","23.9","52.1","7","489","Domicile","Cuisiner"
"9999944","2019-10-19 11:24:00+00","7","9","6","24","52.3","13","513","Domicile","Cuisiner"
"9999944","2019-10-19 11:25:00+00","8","8","6","24","51.8","6","449","Domicile","Cuisiner"
"9999944","2019-10-19 11:26:00+00","7","8","6","24.2","51.7","6","439","Domicile","Cuisiner"
"9999944","2019-10-19 11:27:00+00","7","7","6","24.2","51.3","8","402","Domicile","Cuisiner"
"9999944","2019-10-19 11:28:00+00","7","8","6","24.3","51","7","376","Domicile","Cuisiner"
"9999944","2019-10-19 11:29:00+00","7","8","5","24.4","50.9","6","451","Domicile","Cuisiner"
"9999944","2019-10-19 11:30:00+00","7","8","6","24.4","51.5","22","474","Domicile","Cuisiner"
"9999944","2019-10-19 11:31:00+00","6","7","5","24.5","51.2","20","456","Domicile","Cuisiner"
"9999944","2019-10-19 11:32:00+00","7","8","5","24.4","50.9","1","417","Domicile","Cuisiner"
"9999944","2019-10-19 11:33:00+00","7","7","5","24.5","50.6","10","383","Domicile","Cuisiner"
"9999944","2019-10-19 11:34:00+00","7","8","6","24.6","50.5","5","410","Domicile","Cuisiner"
"9999944","2019-10-19 11:35:00+00","7","8","5","24.7","50.5","9","394","Domicile","Cuisiner"
"9999944","2019-10-19 11:36:00+00","8","9","6","24.7","50.4","14","440","Domicile","Cuisiner"
"9999944","2019-10-19 11:37:00+00","6","7","5","24.8","50.2","5","446","Domicile","Cuisiner"
"9999944","2019-10-19 11:38:00+00","6","7","4","24.9","50.2","8","440","Domicile","Cuisiner"
"9999944","2019-10-19 11:39:00+00","7","7","5","24.9","50.6","16","498","Domicile","Cuisiner"
"9999944","2019-10-19 11:40:00+00","7","7","6","25","51.2","21","471","Domicile","Cuisiner"
"9999944","2019-10-19 11:41:00+00","6","6","5","25","52.3","21","483","Domicile","Cuisiner"
"9999944","2019-10-19 11:42:00+00","6","7","5","25","51.4","2","505","Domicile","Cuisiner"
"9999944","2019-10-19 11:43:00+00","6","7","5","25","52","32","438","Domicile","Cuisiner"
"9999944","2019-10-19 11:44:00+00","6","7","5","25.1","52","3","403","Domicile","Cuisiner"
"9999944","2019-10-19 11:45:00+00","7","7","6","25.2","54.2","39","545","Domicile","Cuisiner"
"9999944","2019-10-19 11:46:00+00","7","8","5","25.3","53.2","1","430","Domicile","Cuisiner"
"9999944","2019-10-19 11:47:00+00","7","8","5","25.1","52.1","3","443","Domicile","Cuisiner"
"9999944","2019-10-19 11:48:00+00","6","7","5","25.4","52","4","413","Domicile","Cuisiner"
"9999944","2019-10-19 11:49:00+00","7","7","6","25.4","51.9","8","390","Domicile","Cuisiner"
"9999944","2019-10-19 11:50:00+00","6","6","5","25.4","51.4","8","457","Domicile","Cuisiner"
"9999944","2019-10-19 11:51:00+00","6","6","4","25.5","51.6","9","405","Domicile","Cuisiner"
"9999944","2019-10-19 11:52:00+00","7","7","5","25.5","51.8","8","443","Domicile","Cuisiner"
"9999944","2019-10-19 11:53:00+00","7","7","5","25.5","51.9","14","433","Domicile","Ouverture De Fenêtre"
"9999944","2019-10-19 11:54:00+00","5","5","4","25.6","52.7","18","426","Domicile","Ouverture De Fenêtre"
"9999944","2019-10-19 11:55:00+00","6","7","5","25.6","52.9","9","397","Domicile","Ouverture De Fenêtre"
"9999944","2019-10-19 11:56:00+00","6","6","4","25.7","51.7","6","389","Domicile","Ouverture De Fenêtre"
"9999944","2019-10-19 11:57:00+00","5","5","4","25.7","51","4","358","Domicile","Ouverture De Fenêtre"
"9999944","2019-10-19 11:58:00+00","5","6","4","25.7","53.8","11","424","Domicile","Ouverture De Fenêtre"
"9999944","2019-10-19 11:59:00+00","6","6","4","25.7","52.6","30","437","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:01:00+00","5","6","4","25.9","51","7","423","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:02:00+00","5","6","4","25.8","53.2","14","444","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:03:00+00","5","5","4","25.9","53.2","15","439","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:04:00+00","5","6","4","25.9","53.8","10","429","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:05:00+00","5","5","4","26","54.8","36","442","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:06:00+00","5","5","4","26","53.7","3","396","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:07:00+00","5","5","4","26","53","6","402","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:08:00+00","5","6","4","26.1","54.3","24","365","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:09:00+00","5","5","3","26.1","53.5","5","431","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:10:00+00","4","4","3","26.1","53.2","4","384","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:11:00+00","4","5","3","26.2","52.9","11","344","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:12:00+00","3","4","3","26.2","52.6","7","346","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:13:00+00","4","5","3","26.2","52.3","10","344","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:14:00+00","4","5","2","26.2","53.1","19","348","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:15:00+00","4","4","3","26.2","52.6","7","375","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:16:00+00","4","5","3","26.3","52.7","6","357","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:17:00+00","4","4","3","26.3","52.2","5","354","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:18:00+00","5","5","4","26.4","52.2","7","385","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:19:00+00","4","5","3","26.3","52.1","11","371","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:20:00+00","3","3","3","26.3","52.4","13","367","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:21:00+00","4","5","3","26.4","52","8","367","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:22:00+00","3","4","2","26.4","52.4","12","346","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:23:00+00","3","3","2","26.5","52.3","9","344","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:24:00+00","3","4","2","26.3","52","8","371","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:25:00+00","4","4","2","26.5","51.9","7","364","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:26:00+00","4","5","3","26.5","51.9","3","347","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:27:00+00","3","4","2","26.5","51.8","9","334","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:28:00+00","3","3","2","26.5","51.7","11","339","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:29:00+00","3","3","2","26.6","51.5","9","338","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:30:00+00","2","3","1","26.6","51.5","5","333","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:31:00+00","2","3","1","26.5","51.1","9","334","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:32:00+00","3","4","2","26.6","51.3","7","361","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:33:00+00","4","4","2","26.6","50.8","5","342","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:34:00+00","3","3","2","26.6","50.3","5","316","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:35:00+00","4","4","2","26.6","49.9","7","407","Domicile","Fermeture De Fenêtre"
"9999944","2019-10-19 12:36:00+00","3","3","2","26.7","50","8","309","Domicile","Fermeture De Fenêtre"
