"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidite","NO2","BC","activity","event"
"9999941","2019-10-19 12:09:00+00","1","2","0","26.5","48.2","2","458",NULL,NULL
"9999941","2019-10-19 12:10:00+00","2","2","0","26.6","48.1","3","417",NULL,NULL
"9999941","2019-10-19 12:11:00+00","0","0","0","26.7","47.9","2","445",NULL,NULL
"9999941","2019-10-19 12:12:00+00","1","1","0","26.7","47.7","3","466",NULL,NULL
"9999941","2019-10-19 12:13:00+00","1","1","0","26.7","47.5","3","422",NULL,NULL
"9999941","2019-10-19 12:14:00+00","1","1","0","26.8","47.4","3","449",NULL,NULL
"9999941","2019-10-19 12:15:00+00","1","1","0","26.9","47.3","2","487",NULL,NULL
"9999941","2019-10-19 12:16:00+00","0","0","0","26.9","47.1","3","457",NULL,NULL
"9999941","2019-10-19 12:17:00+00","1","2","0","27","47.1","2","431",NULL,NULL
"9999941","2019-10-19 12:18:00+00","1","2","0","27","46.9","3","453",NULL,NULL
"9999941","2019-10-19 12:19:00+00","1","1","0","27","46.7","3","456",NULL,NULL
"9999941","2019-10-19 12:20:00+00","1","1","0","27","46.6","1","474",NULL,NULL
"9999941","2019-10-19 12:21:00+00","1","1","0","27.1","46.6","3","439",NULL,NULL
"9999941","2019-10-19 12:22:00+00","1","1","0","27.1","46.4","3","456",NULL,NULL
"9999941","2019-10-19 12:23:00+00","2","2","0","27.2","46.4","3","454",NULL,NULL
"9999941","2019-10-19 12:24:00+00","1","1","0","27.2","46.1","3","434",NULL,NULL
"9999941","2019-10-19 12:25:00+00","1","1","0","27.3","45.8","3","484",NULL,NULL
"9999941","2019-10-19 12:26:00+00","0","1","0","27.3","45.7","3","438",NULL,NULL
"9999941","2019-10-19 12:27:00+00","0","0","0","27.3","45.8","3","459",NULL,NULL
"9999941","2019-10-19 12:28:00+00","0","0","0","27.3","45.7","3","448",NULL,NULL
"9999941","2019-10-19 12:29:00+00","1","1","0","27.3","45.6","4","503",NULL,NULL
"9999941","2019-10-19 12:30:00+00","0","0","0","27.4","45.6","3","443",NULL,NULL
"9999941","2019-10-19 12:31:00+00","1","1","0","27.4","45.5","3","448",NULL,NULL
"9999941","2019-10-19 12:32:00+00","0","1","0","27.4","45.3","3","468",NULL,NULL
"9999941","2019-10-19 12:33:00+00","0","1","0","27.5","45.3","3","456",NULL,NULL
"9999941","2019-10-19 12:34:00+00","0","1","0","27.5","45.2","3","443",NULL,NULL
"9999941","2019-10-19 12:35:00+00","1","1","0","27.5","45.1","3","416",NULL,NULL
"9999941","2019-10-19 12:36:00+00","0","0","0","27.5","45","2","459",NULL,NULL
"9999941","2019-10-19 12:37:00+00","0","0","0","27.6","45","2","425",NULL,NULL
"9999941","2019-10-19 12:38:00+00","1","1","0","27.6","44.9","3","416",NULL,NULL
"9999941","2019-10-19 12:39:00+00","0","1","0","27.6","44.8","3","442",NULL,NULL
"9999941","2019-10-19 12:40:00+00","0","0","0","27.6","44.7","4","444",NULL,NULL
"9999941","2019-10-19 12:41:00+00","1","1","0","27.6","44.6","4","457",NULL,NULL
"9999941","2019-10-19 12:42:00+00","0","1","0","27.7","44.7","4","433",NULL,NULL
"9999941","2019-10-19 12:43:00+00","1","2","0","27.7","44.6","2","433",NULL,NULL
"9999941","2019-10-19 12:44:00+00","1","1","0","27.7","44.5","4","444",NULL,NULL
"9999941","2019-10-19 12:45:00+00","0","0","0","27.8","44.5","4","409",NULL,NULL
"9999941","2019-10-19 12:46:00+00","0","0","0","27.8","44.5","3","450",NULL,NULL
"9999941","2019-10-19 12:47:00+00","0","0","0","27.8","44.4","2","418",NULL,NULL
"9999941","2019-10-19 12:48:00+00","1","1","0","27.8","44.3","3","437",NULL,NULL
"9999941","2019-10-19 12:49:00+00","1","1","0","27.9","44.2","4","426",NULL,NULL
"9999941","2019-10-19 12:50:00+00","0","1","0","27.9","44.3","4","409",NULL,NULL
"9999941","2019-10-19 12:51:00+00","0","0","0","27.9","44.1","4","427",NULL,NULL
"9999941","2019-10-19 12:52:00+00","0","1","0","27.9","44.1","4","412",NULL,NULL
"9999941","2019-10-19 12:53:00+00","0","0","0","27.9","44.1","3","443",NULL,NULL
"9999941","2019-10-19 12:54:00+00","0","1","0","28","44","2","425",NULL,NULL
"9999941","2019-10-19 12:55:00+00","0","0","0","28","44","4","425",NULL,NULL
"9999941","2019-10-19 12:56:00+00","0","0","0","28","44","3","418",NULL,NULL
"9999941","2019-10-19 12:57:00+00","0","0","0","28","43.9","4","457",NULL,NULL
"9999941","2019-10-19 12:58:00+00","0","1","0","28","43.8","3","368",NULL,NULL
"9999941","2019-10-19 12:59:00+00","0","1","0","28","43.8","4","408",NULL,NULL
"9999941","2019-10-19 13:00:00+00","0","0","0","28.1","43.8","3","415",NULL,NULL
"9999941","2019-10-19 13:01:00+00","0","0","0","28.1","43.7","3","387",NULL,NULL
"9999941","2019-10-19 13:02:00+00","0","0","0","28.1","43.6","4","404",NULL,NULL
"9999941","2019-10-19 13:03:00+00","0","0","0","28.1","43.5","3","384",NULL,NULL
"9999941","2019-10-19 13:04:00+00","0","1","0","28.1","43.7","5","425",NULL,NULL
"9999941","2019-10-19 13:05:00+00","1","1","0","28.2","43.5","2","413",NULL,NULL
"9999941","2019-10-19 13:06:00+00","0","0","0","28.2","43.5","4","392",NULL,NULL
"9999941","2019-10-19 13:07:00+00","0","0","0","28.2","43.6","3","381",NULL,NULL
"9999941","2019-10-19 13:08:00+00","0","0","0","28.2","43.4","4","394",NULL,NULL
"9999941","2019-10-19 13:09:00+00","0","0","0","28.2","43.4","5","413",NULL,NULL
"9999941","2019-10-19 13:10:00+00","0","0","0","28.2","43.4","4","388",NULL,NULL
"9999941","2019-10-19 13:11:00+00","0","0","0","28.2","43.1","3","384",NULL,NULL
"9999941","2019-10-19 13:12:00+00","0","0","0","28.3","43","5","375",NULL,NULL
"9999941","2019-10-19 13:13:00+00","1","1","0","28.3","42.8","4","411",NULL,NULL
"9999941","2019-10-19 13:14:00+00","0","1","0","28.3","42.6","4","415",NULL,NULL
"9999941","2019-10-19 13:15:00+00","0","0","0","28.3","42.5","3","362",NULL,NULL
"9999941","2019-10-19 13:16:00+00","0","0","0","28.3","42.5","4","383",NULL,NULL
"9999941","2019-10-19 13:17:00+00","0","1","0","28.3","42.4","2","408",NULL,NULL
"9999941","2019-10-19 13:18:00+00","0","1","0","28.4","42.4","5","378",NULL,NULL
"9999941","2019-10-19 13:19:00+00","0","0","0","28.3","42.3","3","353",NULL,NULL
"9999941","2019-10-19 13:20:00+00","0","1","0","28.4","42.3","4","386",NULL,NULL
"9999941","2019-10-19 13:21:00+00","0","0","0","28.4","42.2","4","355",NULL,NULL
"9999941","2019-10-19 13:22:00+00","0","0","0","28.4","42.2","4","359",NULL,NULL
"9999941","2019-10-19 13:23:00+00","0","1","0","28.4","42.3","5","375",NULL,NULL
"9999941","2019-10-19 13:24:00+00","0","0","0","28.4","42.2","3","388",NULL,NULL
"9999941","2019-10-19 13:25:00+00","1","1","0","28.4","42.2","4","431",NULL,NULL
"9999941","2019-10-19 13:26:00+00","0","0","0","28.5","42.4","5","370",NULL,NULL
"9999941","2019-10-19 13:27:00+00","0","0","0","28.4","42.2","3","372",NULL,NULL
"9999941","2019-10-19 13:28:00+00","1","1","0","28.5","42.2","5","381",NULL,NULL
"9999941","2019-10-19 13:29:00+00","0","0","0","28.5","42.2","4","354",NULL,NULL
"9999941","2019-10-19 13:30:00+00","0","1","0","28.5","42.1","4","352",NULL,NULL
"9999941","2019-10-19 13:31:00+00","0","0","0","28.5","42.1","3","332",NULL,NULL
"9999941","2019-10-19 13:32:00+00","0","0","0","28.5","42","3","362",NULL,NULL
"9999941","2019-10-19 13:33:00+00","0","0","0","28.5","42","3","330",NULL,NULL
"9999941","2019-10-19 13:34:00+00","0","0","0","28.5","41.9","4","358",NULL,NULL
"9999941","2019-10-19 13:35:00+00","0","0","0","28.5","41.9","4","322",NULL,NULL
"9999941","2019-10-19 13:36:00+00","0","0","0","28.6","41.8","3","321",NULL,NULL
"9999941","2019-10-19 13:37:00+00","0","0","0","28.6","41.8","4","344",NULL,NULL
"9999941","2019-10-19 13:38:00+00","0","0","0","28.6","41.8","4","328",NULL,NULL
"9999941","2019-10-19 13:39:00+00","0","0","0","28.6","41.8","3","330",NULL,NULL
"9999941","2019-10-19 13:40:00+00","0","0","0","28.6","41.8","3","359",NULL,NULL
"9999941","2019-10-19 13:41:00+00","0","0","0","28.6","41.8","2","328",NULL,NULL
"9999941","2019-10-19 13:42:00+00","0","0","0","28.6","41.7","5","344",NULL,NULL
"9999941","2019-10-19 13:43:00+00","0","0","0","28.6","41.7","4","343",NULL,NULL
"9999941","2019-10-19 13:44:00+00","1","1","0","28.6","41.6","4","329",NULL,NULL
"9999941","2019-10-19 13:45:00+00","0","0","0","28.7","41.7","6","336",NULL,NULL
"9999941","2019-10-19 13:46:00+00","0","0","0","28.7","41.6","3","326",NULL,NULL
"9999941","2019-10-19 13:47:00+00","0","0","0","28.6","41.5","3","326",NULL,NULL
"9999941","2019-10-19 13:48:00+00","0","0","0","28.7","41.5","2","354",NULL,NULL
"9999941","2019-10-19 13:49:00+00","0","0","0","28.7","41.5","4","285",NULL,NULL
"9999941","2019-10-19 13:50:00+00","0","0","0","28.7","41.5","5","341",NULL,NULL
"9999941","2019-10-19 13:51:00+00","0","0","0","28.7","41.5","2","323",NULL,NULL
"9999941","2019-10-19 13:52:00+00","0","0","0","28.7","41.5","4","333",NULL,NULL
"9999941","2019-10-19 13:53:00+00","0","0","0","28.7","41.4","2","344",NULL,NULL
"9999941","2019-10-19 13:54:00+00","0","0","0","28.7","41.4","3","340",NULL,NULL
"9999941","2019-10-19 13:55:00+00","0","0","0","28.7","41.4","4","322",NULL,NULL
"9999941","2019-10-19 13:56:00+00","0","0","0","28.7","41.4","3","319",NULL,NULL
"9999941","2019-10-19 13:57:00+00","0","0","0","28.7","41.3","3","371",NULL,NULL
"9999941","2019-10-19 13:58:00+00","0","0","0","28.8","41.3","4","328",NULL,NULL
"9999941","2019-10-19 13:59:00+00","0","0","0","28.7","41.3","3","315",NULL,NULL
"9999941","2019-10-19 14:00:00+00","0","0","0","28.7","41.2","5","328",NULL,NULL
"9999941","2019-10-19 14:01:00+00","0","0","0","28.8","41.3","4","308",NULL,NULL
